,changed_words_num,new_model_target,old_model_target,old_text,target,text
0,37.0,A22,A1,"Come gather round me comrades , and hear my little lecture , The bourgeois world is haunted by Communism's spectre - Thus  wrote Karl & Freddy - their words I will  relate , from the Manifesto of 1848 . All  History tells a tale of struggles between classes - Slaves & freemen , serfs & lords , labourers & masters , [ in a word ] Oppressor and oppressed fought in constant  opposition , While the modern bourgeois rise like scum to dominant position . The bourgeoisie converts the family to but a cash relation . For feudal ties it substitutes more brutal exploitation , All that 's solid melts . All that 's sacred is profaned . By bourgeois  competition and bourgeois  money gain . Their commercial crises are such an absurdity , They show we can no longer afford the bourgeoisie It is unfit to rule , it can not feed its slaves , And so the bourgeoisie creates , the digger of its grave : The working class must win the battle of democracy , And expropriate all capital from the bourgeoisie . So the workers control all industry , and create a workers' state , which ends all exploitation & a free  world does create The Communists encourage the working class to see The class antagonism between prole & bourgeoisie They openly declare their aims include the abolition Of existing social & political conditions . Communists disdain to conceal their views & aims . The workers have no country , and nought to lose but chains . They have a world to win . Let the ruling class take fright , at communist revolution - workers everywhere unite ! Copyright Eric Petersen Updated : 20 February , 2006 | Site editor </doc>",A1,"Come solicit round me comrade , and listening my little dissertations , It bourgeois worldwide is haunted by Communism's modok - Moreover  writing Karl & Freddy - their word I wants  relation , from the Manifesto of 1848 . Everything  Historian tells a romances of confronting between classrooms - Slave & freemen , serfs & lords , workers & masters , [ in a verb ] Oppressor and oppressed waged in linearly  opposing , Instead the modern souvarine rise like scum to dominant position . The bourgeoisie conversion the family to but a cash relation . The feudal ties it substitutes more cruel exploitation , All that 's solids melts . All that 's sacred is profaned . By souvarine  contest and bourgeoisie  cash gain . Their commercial crises are such an absurdity , They show we can no longer afford the bourgeoisie It is unfit to rule , it can not feed its slaves , And so the bourgeoisie creating , the digger of its grave : The working class must win the battle of democracy , And expropriate all capital from the bourgeoisie . So the workers control all industry , and create a workers' state , which ends all exploitation & a copyleft  international does create The Communists encouraged the working class to see The class antagonism between prole & bourgeoisie They openly declare their aims include the abolition Of existing social & political conditions . Communists disdain to conceal their views & aims . The workers have no country , and nought to lose but chains . They have a world to win . Let the ruling class take fright , at communist revolution - workers everywhere unite ! Copyright Eric Petersen Updated : 20 February , 2006 | Site editor </doc>"
1,1.0,A12,A1,"Grades 7 - 12 , Upper School Each year Beth David students make the decision to continue their Jewish learning into later middle school and even high school years . Their motivations are individual – perhaps religious , perhaps social , perhaps practical . Whatever their reasons , they are rewarded with a meaningful , enjoyable experience and a bond with their classmates and teachers . Watch for exciting changes in 2013-14 ! Check this site and emails please . The schedule will change for the Fall . The curriculum follows the mission statement of the Religious School , with topics broadened and deepened to meet the growing abilities of the age group . Students contemplate the basic questions , "" What is Reform Judaism and what does it mean in my life ? "" Well-loved teachers use a variety of activities to keep learning lively and relevant , including debates , discussions , and sometimes arguments ; art , music , journal writing , cooking , and others . Social connections are valued by the program as well as by the students . A pre-class pizza dinner is woven into the schedule , offering a chance to mingle and build relationships with classmates . Madrichim Tutoring Program Upper School students are eligible to be employed as tutors on Sunday morning in the Lower School . This popular program offers a wonderful experience of education , commitment , and increased responsibility . Confirmation Year The exciting culmination of the Upper School is in 10th grade . This year features two highlights . One is a trip to the Religious Action Center in Washington , D.C. , where students actively learn about putting the Torah's social justice principles into legislative practice . The other is the Confirmation service , a sacred",A1,"Grades 7 - 12 , Upper School Each year Beth David students make the decision to continue their Jewish learning into later middle school and even high school years . Their motivations are individual – perhaps religious , perhaps social , perhaps practical . Whatever their reasons , they are rewarded with a meaningful , enjoyable experience and a bond with their classmates and teachers . Watch for exciting changes in 2013-14 ! Check this site and emails please . The schedule will change for the Fall . The curriculum follows the mission statement of the Religious School , with topics broadened and deepened to meet the growing abilities of the age group . Students contemplate the basic questions , "" What is Reform Jew and what does it mean in my life ? "" Well-loved teachers use a variety of activities to keep learning lively and relevant , including debates , discussions , and sometimes arguments ; art , music , journal writing , cooking , and others . Social connections are valued by the program as well as by the students . A pre-class pizza dinner is woven into the schedule , offering a chance to mingle and build relationships with classmates . Madrichim Tutoring Program Upper School students are eligible to be employed as tutors on Sunday morning in the Lower School . This popular program offers a wonderful experience of education , commitment , and increased responsibility . Confirmation Year The exciting culmination of the Upper School is in 10th grade . This year features two highlights . One is a trip to the Religious Action Center in Washington , D.C. , where students actively learn about putting the Torah's social justice principles into legislative practice . The other is the Confirmation service , a sacred"
2,42.0,A1,A9,"WHEREAS by the Wimbledon and Putney  Commons  Act 1871 , power is given to the Wimbledon and Putney Commons Conservators incorporated by and under the said  Act to make Bye-laws for the purposes therein stated : Now we , the Wimbledon and Putney Commons Conservators , do hereby repeal all Bye-laws by us heretofore made or constituted , excepting the Election Bye-laws made on the 12 th day of July , 1892 , as amended , and do hereby make and constitute the following Bye-laws , which are to commence and take effect  immediately after the same shall  have been allowed by the Secretary of State for the Environment and so to continue until the same shall be altered or repealed according to the provisions of the said  Act ; and we do by such Bye-laws impose the penalties and further penalties in the same Bye-laws respectively  mentioned . BYE - LAWS 1 . In the Construction of these Bye-laws - "" The Commons "" means Wimbledon Common , with Wimbledon Green and Putney Heath included , and Putney Lower Common , as the same respectively are particularly described in the Wimbledon and Putney Commons Act 1871 , and the additions thereto to which are deemed to be part of the Commons by virtue of Section 68 of the said Act . "" The Conservators "" means the Wimbledon and Putney Commons Conservators , incorporated by and under the Wimbledon and Putney Commons Act , 1871 . "" The Act "" means the Wimbledon and Putney Commons Act , 1871 . The term "" unauthorised person "" means any person not for the time being duly authorised by the Conservators in writing , other than a person acting by virtue of the Act or in the exercise of some right",A9,"WHEREAS by the Henin and Stratford  Flickr  Legislation 1871 , energy is accorded to the Wimbledon and Callington Commons Conservators formed by and under the talked  Legislation to make Bye-laws for the purposes therein stated : Now we , the Wimbledon and Putney Commons Conservators , know hereby amending all Bye-laws by us heretofore made or constituted , but the Election Bye-laws made on the 12 th day of July , 1892 , as repeals , and do hereby accomplish and comprises the after Bye-laws , which are to commencing and take impact  shortly after the same must  has been allowed by the Secretary of State for the Ecosystem and so to continue until the same must be redesigned or repealed according to the regulations of the talked  Legislation ; and we know by such Bye-laws imposing the equalized and further equalized in the same Bye-laws equivalents  explained . ADIEU - ORDINANCES 1 . In the Constructed of these Bye-laws - "" It Commons "" means Clijsters Common , with Clijsters Green and Putney Heath comprised , and Putney Lower Common , as the same respectively are especially described in the Wimbledon and Putney Commons Act 1871 , and the additions thereto to which are deemed to be part of the Commons by virtue of Section 68 of the said Act . "" The Conservators "" means the Wimbledon and Putney Commons Conservators , incorporated by and under the Wimbledon and Putney Commons Act , 1871 . "" The Act "" means the Wimbledon and Putney Commons Act , 1871 . The term "" unauthorised person "" means any person not for the time being duly authorised by the Conservators in writing , other than a person acting by virtue of the Act or in the exercise of some right"
3,35.0,A8,A1,"Can I just say , having been named by Timothy Sherratt , that I am not ' spinning ' the ' invitation to express regret ' into a much  firmer  command than it is . I would ask that he read Oliver O ' Donovan's very careful remarks on the subject in his posted piece . ECUSA leadership  has been asked not to regret that some were hurt , but to regret that the bonds of affection were breached , in other words that they ought not to have  done what they did . So far they have not done this and the Primates will not be fooled by some of the fudgy language they are coming up with . I am also very  concerned that Timothy Sherratt uses the emotive and inaccurate language about ' shabby treatment of the orthodox ' and ' the Network  has been hung out to dry by the Commission ' . I do n't think Drexel Gomes , Bernard Malango , Josiah Fearon and I -- to look no further -- would have signed a document that did that . Neither I nor my colleagues are labelling anyone as cartoon  fundamentalists . Many of the USA orthodox are close friends of mine . It is precisely because of that that I am aware how much all kinds of issues get bundled up together in the USA ( as they do here , but the bundles are often different ) , and how that bundling affects all kinds of things in the debate . It was widely noted , for instance , that in the Presidential Election several states managed to get a question about gay marriages into the polling booths at the same time . I do wish the orthodox in the USA would",A1,"Can I just say , having been called by Timothy Sherratt , that I am not ' rotating ' the ' urging to express regretted ' into a quite  smoother  commanding than it is . I would wondering that he read Oliver O ' Donovan's very careful remarks on the topic in his posted piece . ECUSA leader  have been asked not to regretted that some were hurt , but to regret that the bonds of affection were breached , in other syllable that they could not to be  doing what they did . So far they has not done this and the Chimps will not be duped by some of the fudgy fluency they are coming up with . I am also pretty  concerns that Timothy Sherratt uses the emotive and inaccurate language about ' shabby treat of the orthodoxy ' and ' the Multicast  is been hanging out to drying by the Subcommission ' . I know n't presume Drexel Gomes , Bernard Malango , Josiah Fearon and I -- to look no further -- would has signed a document that did that . Neither I nor my classmates are labelling anyone as animated  adherents . Many of the USA orthodox are close friends of mine . It is precisely because of that that I am aware how much all kinds of issues get bundled up together in the USA ( as they do here , but the bundles are often different ) , and how that bundling affects all kinds of things in the debate . It was widely noted , for instance , that in the Presidential Election several states managed to get a question about gay marriages into the polling booths at the same time . I do wish the orthodox in the USA would"
4,7.0,A1,A8,"For Goldman Sachs , a public-relations disaster had real consequences this week – $ 2 . 15 billion consequences on Wednesday . That 's the market value stripped away from Goldman's stock price when shares dropped 3.4 % after Greg Smith's farewell to the company in The New York Times Op-Ed section . ( The Times paid Smith the standard $ 150 rate for the unsolicited letter . ) Today on Sound Off , Sterling's semi-regular podcast series , Kevin Pedraja and Lisa Hawes discuss the media firestorm ignited by this and a spate of recent public resignations . What are the dangers posed to companies when employees use traditional and now , social , media to air their grievances ? What lessons can be learned ? All this and more in eight minutes . </doc>",A8,"For Sachs Sachs , a public-relations disaster had real consequences this week – $ 2 . 15 billion consequences on Sundays . That 's the market value stripped away from Goldman's stock price when shares dropped 3.4 % after Greg Smith's farewell to the corporation in The New York Times Op-Ed section . ( The Times paid Smith the standard $ 150 rate for the unsolicited letter . ) Now on Sound Off , Sterling's semi-regular podcast series , Kevin Pedraja and Lisa Hawes revisit the media firestorm ignited by this and a spate of recent public resignations . What are the dangers pose to companies when workforce use traditional and now , social , media to air their grievances ? What lessons can be learned ? All this and more in eight minutes . </doc>"
5,1.0,A1,A14,"Alright . I 'm going to show you a couple of images from a very diverting paper in The Journal of Ultrasound in Medicine . I 'm going to go way out on a limb and say that it is the most diverting paper ever published in The Journal of Ultrasound in Medicine . The title is "" Observations of In-Utero Masturbation . "" ( Laughter ) Okay . Now on the left you can see the hand . That 's the big arrow . And the penis on the right . The hand hovering . And over here we have , in the words of radiologist Israel Meisner , "" The hand grasping the penis in a fashion resembling masturbation movements . "" Bear in mind this was an ultrasound . So it would have been moving images . Orgasm is a reflex of the autonomic nervous system . Now this is the part of the nervous system that deals with the things that we do n't consciously control . Like digestion , heart rate , sexual arousal . And the orgasm reflex can be triggered by a surprisingly broad range of input . Genital stimulation . Duh . But also Kinsey interviewed a woman who could be brought to orgasm by having someone stroke her eyebrow . People with spinal cord injuries , like parapligias , quadriplegias , will often develop a very very sensitive area right above the level of their injury . Wherever that is . There is such a thing as a knee orgasm , in the literature . I think the most curious one that I came across was a case report of a woman who had an orgasm every time she brushed her teeth . ( Laughter ) This was something in the",A14,"Alright . I 'm going to show you a couple of images from a very diverting paper in The Journal of Percutaneous in Medicine . I 'm going to go way out on a limb and say that it is the most diverting paper ever published in The Journal of Ultrasound in Medicine . The title is "" Observations of In-Utero Masturbation . "" ( Laughter ) Okay . Now on the left you can see the hand . That 's the big arrow . And the penis on the right . The hand hovering . And over here we have , in the words of radiologist Israel Meisner , "" The hand grasping the penis in a fashion resembling masturbation movements . "" Bear in mind this was an ultrasound . So it would have been moving images . Orgasm is a reflex of the autonomic nervous system . Now this is the part of the nervous system that deals with the things that we do n't consciously control . Like digestion , heart rate , sexual arousal . And the orgasm reflex can be triggered by a surprisingly broad range of input . Genital stimulation . Duh . But also Kinsey interviewed a woman who could be brought to orgasm by having someone stroke her eyebrow . People with spinal cord injuries , like parapligias , quadriplegias , will often develop a very very sensitive area right above the level of their injury . Wherever that is . There is such a thing as a knee orgasm , in the literature . I think the most curious one that I came across was a case report of a woman who had an orgasm every time she brushed her teeth . ( Laughter ) This was something in the"
6,48.0,A7,A4,"Part II , Chapter II "" And what if there has been a search already ? What if I find them in my room ? "" But here was his room . Nothing and no one in it . No one had peeped in . Even Nastasya had not touched it . But heavens ! how could he have  left all those things in the hole ? He  rushed to the corner , slipped his hand under the paper , pulled the things out and lined his pockets with them . There were eight articles in all : two  little  boxes with ear-rings or something of the sort , he hardly looked to see ; then four small leather cases . There was a chain , too , merely wrapped in newspaper and something else in newspaper , that looked  like a decoration . ... He  put them all in the different pockets of his overcoat , and the remaining pocket of his trousers , trying to conceal them as much as possible . He  took the purse , too . Then he went out of his room , leaving the door  open . He walked quickly and resolutely , and though he felt shattered , he had his senses about him . He was afraid of pursuit , he was afraid that in another half-hour , another quarter of an hour perhaps , instructions would be issued for his pursuit , and so at all costs , he must hide all traces before then . He must clear everything up while he still had some strength , some reasoning power left him .... Where was he to go ? That had long been settled : "" Fling them into the canal , and all traces hidden in the water",A4,"Part II , Chapter IV "" Both what if there is been a search already ? What if I get them in my rooms ? "" Even here was his lounge . Nothing and no one in it . Nothing one got peeped in . Even Nastasya have not touching it . But heavenly ! how could he has  leaving all those stuff in the slit ? Him  rushing to the corner , slipped his hands under the newspaper , pull the thing out and lined his pockets with them . There were eight articles in all : both  scant  cans with ear-rings or something of the sort , he hardly noticed to know ; then four smaller leather situations . There was a chain , too , merely wrapped in magazine and something else in magazine , that noticed  similar a adorned . ... Her  bring them all in the different pockets of his overcoat , and the remaining pocket of his trousers , attempt to hide them as lot as possible . Her  undertook the purse , too . Whereupon he came out of his bedroom , left the doors  clijsters . He walked swiftly and resolutely , and though he felt shattered , he had his senses about him . He was afraid of pursuit , he was afraid that in another half-hour , another quarter of an hour perhaps , instructions would be issued for his pursuit , and so at all costs , he must hide all traces before then . He must clear everything up while he still had some strength , some reasoning power left him .... Where was he to go ? That had long been settled : "" Fling them into the canal , and all traces hidden in the water"
7,39.0,A22,A14,"Keywords : Elastic scattering , Coulomb excitation , Relativistic collisions , Coupled-channels , Nuclear  excitation , Nuclear  physics , Direct reaction . Classification : 17.11 . Nature of problem : The program calculates elastic scattering differential cross sections , probabilities , and cross sections for inelastic scattering in nuclear collisions at intermediate and high  energies ( Elab > = 50 MeV / nucleon ) . It is particularly useful in the analysis of experiments with stable and unstable nuclear beams running at several intermediate-energy heavy ion accelerators around the world . Solution  method : Eikonal wavefunctions are used for the scattering . For each "" impact parameter "" entering the scattering matrix elements , one solves coupled-channels equations for the time dependent Coulomb + nuclear field expanded into multipoles . A four-point Runge-Kutta procedure is used to solve the coupled-channels equations . The elastic scattering is calculated purely with the eikonal approximation . The coupled-channels is a separate calculation for the inelastic amplitudes . The inelastic couplings , therefore , have no effect on the obtained elastic scattering cross sections . Running time : Almost all the CPU time is consumed by the solution of the coupled-channels equations . It is about 2 min on a 1GHz Intel P4-processor machine for the inclusion of 5 nuclear states . </doc>",A14,"Keywords : Elastic scatter , Coulomb wavelength , Relativistic ionizing , Coupled-channels , Fission  photon , Fission  physicist , Direct response . Classify : 17.11 . Natures of trouble : Of program calculates elastic scattering bilinear cross paragraphs , probabilistic , and cross paragraphs for inelastic scatter in nuclear collision at intermediary and highest  ionizing ( Elab > = 50 MeV / nucleon ) . That is very useful in the analysis of empirically with stable and fragile nuclear planks running at numerous intermediate-energy heavy ion accelerators around the international . Solutions  approach : Eikonal wavefunctions are used for the scattering . For individual "" consequences parameter "" joining the scattering multiplications elements , one solvers coupled-channels equations for the days dependent Coulomb + nuclear field broaden into multipoles . another four-point Runge-Kutta procedure is used to solve the coupled-channels equations . It elastic scattering is calculated purely with the eikonal approximation . The coupled-channels is a separate calculation for the inelastic amplitudes . The inelastic couplings , therefore , have no effect on the obtained elastic scattering cross sections . Running time : Almost all the CPU time is consumed by the solution of the coupled-channels equations . It is about 2 min on a 1GHz Intel P4-processor machine for the inclusion of 5 nuclear states . </doc>"
8,28.0,A16,A1," Legalize It In 2000 , George Bierson's "" Marijuana , the Deceptive Drug "" , was published by the Massachusetts News . Bierson concludes that marijuana is harmful in many  ways , including brain damage , damage to the reproductive system , and weakening of the immune system . He also attempts to convince the reader that marijuana is a "" gateway drug "" that leads the users to venture into much harder drugs . I believe that research to support anything can be found if one is looking  hard enough , but that the fallacy of Bierson's conclusion is due to his research seeking facts to support an already-assumed conclusion . Based on my research and my own personal experience , I have found that several of his points , when looked at logically , do not reach his conclusion . One of Bierson's strongest supporting claims is of the physical harms of marijuana . He argues that Heath's tests of the monkey's brain seemed to show conclusive evidence of brain  damage ; however , he fails to mention that the tests were later discredited : the monkeys were given extremely high doses , doses exponentially higher than that of the average recreational or medical marijuana user , and the test's sample size was too small . More current studies of people who are heavy marijuana smokers show no evidence of brain damage ; in addition , the American Medical Association has officially endorsed the decriminalization of marijuana . I find this to be quite a bit more compelling than an outdated and poorly executed test . His claims of damage to both the reproductive system and the immune system are again based on invalid experiments of nearly lethal doses administered to mice and other animals , not humans",A1," Legalization It In 2000 , George Bierson's "" Marijuana , the Deceptive Drug "" , was published by the Massachusetts News . Bierson concludes that cannabis is harmful in numerous  manner , including brain destruction , damage to the reproductive mechanism , and weakening of the immune system . Her also attempts to convince the reading that cannabis is a "" gateway drug "" that leads the users to venture into much harder drugs . I believe that research to support anything can be found if one is searching  difficult enough , but that the fallacy of Bierson's conclusions is due to his research seeking facts to support an already-assumed conclusion . Based on my research and my respective personal experience , I be found that several of his points , when noticed at logically , do not reach his conclude . Each of Bierson's strongest supporting alleges is of the physical harms of cannabis . He argues that Heath's tests of the monkey's brain seemed to show conclusive indication of neurologic  devastating ; however , he lacks to mentions that the experiments were subsequently discredited : the monkeys were given extremely high doses , doses exponentially higher than that of the average recreational or medical marijuana user , and the test's sample size was too small . More current studies of citizens who are heavy marijuana smokers show no evidence of brain damage ; in addition , the American Medical Association has officially endorsed the decriminalization of marijuana . I find this to be quite a bit more compelling than an outdated and poorly executed test . His claims of damage to both the reproductive system and the immune system are again based on invalid experiments of almost lethal doses administered to mice and other animals , not humans"
9,67.0,A8,A9,"General Conditions of Contract 45 . Software  Licences  Either  All software licences for software due for delivery under this Contract  shall  be  made between the Secretary of State for Defence and the Contractor . The  licences  shall be negotiated by the Ministry of Defence . This entire  contract is subject to the satisfactory  negotiation / agreement of software  licences for all deliverable  software with the exception of bespoke software . In the event that licenses are not negotiated AWE plc  reserves the right to determine this contract upon written notice . or In  performing this contract the Contractor hereby warrants that he has AWE plc ( as owner or licensee ) , to provide  software  required under this contract in accordance with the following  terms : - Notwithstanding any contractual or licence term to the contrary the provisions of this clause  shall have precedence . Software provided under this contract  shall be licensed in the name of the Secretary of State for Defence ( hereinafter  referred to as "" The  Secretary "" ) but may be used by the Contractors and Sub-Contractors of the Secretary solely for the purpose of fulfilling contracts placed by or on behalf of the secretary . All Contractors and Sub-Contractors will be required to abide by the terms of the relevant software licence . No charge shall be made by the Secretary or the Licensor for the use of the software by a Contractor or Sub-Contractor in fulfilling a contract placed by or on behalf of the Secretary . or The software under this order shall be deemed to have been licensed to the Secretary of State for Defence under the terms and condition of MOD agreement .............. The provision of this order shall take precedence over that of any other licence agreement in the",A9,"General Precondition of Contract 45 . Middleware  Licensing  Unless  Everything software licences for software due for delivery under this Contracting  howsoever  have  brought between the Secretary of Federal for Defence and the Contractors . Of  licensee  hereof be negotiations by the Ministry of Defence . This entirety  contracting is topics to the satisfied  multilateral / agreed of autodesk  revocation for all prototyping  autodesk with the exception of bespoke vxworks . Of the events that licensee are not negotiated AWE ftse  recoverable the right to assess this contracting upon wrote notice . or The  performance this agreement the Contractors hereby extraditable that he is AWE hbos ( as owners or broadcasting ) , to providing  middleware  prerequisite under this contracting in compliance with the ensuing  interchangeably : - Notwithstanding any agreements or licence interchangeably to the contrary the legislation of this unenforceable  hereof have precedence . Autodesk provided under this agreement  howsoever be licensed in the epithet of the Secretaries of Federal for Defence ( railroad  colloquially to as "" It  Minister "" ) but may be used by the Contracts and Sub-Contractors of the Secretary solely for the purpose of fulfilling contracts placed by or on behalf of the secretary . All Contractors and Sub-Contractors will be required to abide by the terms of the relevant software licence . No charge shall be made by the Secretary or the Licensor for the use of the software by a Contractor or Sub-Contractor in accomplish a contract placed by or on behalf of the Secretary . or The software under this order shall be deemed to have been licensed to the Secretary of State for Defence under the terms and condition of MOD agreement .............. The provision of this order shall take precedence over that of any other licence agreement in the"
