,all_attempts,good_attempts,good_fraction,new,old
0,2.0,2.0,1.0,A11,A22
1,47.0,0.0,0.0,A1,A1
2,44.0,0.0,0.0,A12,A12
3,13.0,0.0,0.0,A14,A14
4,29.0,0.0,0.0,A4,A4
5,14.0,14.0,1.0,A4,A12
6,1.0,1.0,1.0,A22,A1
7,24.0,0.0,0.0,A22,A22
8,40.0,0.0,0.0,A7,A7
9,2.0,2.0,1.0,A12,A16
10,35.0,0.0,0.0,A16,A16
11,18.0,0.0,0.0,A11,A11
12,3.0,3.0,1.0,A22,A16
13,2.0,2.0,1.0,A4,A1
14,5.0,5.0,1.0,A16,A14
15,2.0,2.0,1.0,A16,A8
16,5.0,5.0,1.0,A16,A12
17,3.0,3.0,1.0,A7,A12
18,5.0,5.0,1.0,A7,A1
19,3.0,3.0,1.0,A12,A7
20,1.0,1.0,1.0,A1,A8
21,3.0,3.0,1.0,A7,A16
22,1.0,1.0,1.0,A22,A7
23,10.0,10.0,1.0,A11,A1
24,1.0,1.0,1.0,A16,A22
25,6.0,6.0,1.0,A12,A4
26,1.0,1.0,1.0,A14,A12
27,8.0,8.0,1.0,A12,A1
28,8.0,0.0,0.0,A8,A8
29,1.0,1.0,1.0,A11,A12
30,2.0,2.0,1.0,A7,A8
31,7.0,7.0,1.0,A1,A7
32,2.0,2.0,1.0,A16,A4
33,1.0,1.0,1.0,A12,A8
34,2.0,2.0,1.0,A1,A11
35,3.0,0.0,0.0,A17,A17
36,3.0,3.0,1.0,A14,A16
37,2.0,2.0,1.0,A12,A17
38,1.0,1.0,1.0,A14,A11
39,4.0,4.0,1.0,A16,A7
40,1.0,1.0,1.0,A16,A17
41,1.0,1.0,1.0,A7,A17
42,1.0,1.0,1.0,A14,A1
43,1.0,1.0,1.0,A22,A11
44,1.0,1.0,1.0,A11,A17
45,1.0,1.0,1.0,A4,A8
46,2.0,2.0,1.0,A16,A1
47,2.0,2.0,1.0,A12,A11
48,1.0,1.0,1.0,A11,A16
49,1.0,1.0,1.0,A14,A4
50,1.0,1.0,1.0,A4,A16
