	genre	word	frequency
0	A7	the	13.0
1	A7	a	9.0
2	A7	in	7.0
3	A7	is	7.0
4	A7	if	6.0
5	A7	for	5.0
6	A7	it	5.0
7	A7	and	5.0
8	A7	have	4.0
9	A7	so	4.0
10	A22	software	3.0
11	A22	and	2.0
12	A22	the	2.0
13	A22	immediately	2.0
14	A22	payday	2.0
15	A22	no	2.0
16	A22	sim	2.0
17	A22	cheap	2.0
18	A22	trying	1.0
19	A22	mortgage	1.0
20	A8	the	85.0
21	A8	of	42.0
22	A8	in	25.0
23	A8	a	16.0
24	A8	on	12.0
25	A8	for	11.0
26	A8	was	11.0
27	A8	and	10.0
28	A8	that	9.0
29	A8	will	9.0
30	A17	the	35.0
31	A17	of	22.0
32	A17	is	12.0
33	A17	that	11.0
34	A17	in	8.0
35	A17	his	8.0
36	A17	on	8.0
37	A17	book	6.0
38	A17	and	6.0
39	A17	but	6.0
40	A1	the	70.0
41	A1	of	34.0
42	A1	and	28.0
43	A1	in	17.0
44	A1	for	13.0
45	A1	on	10.0
46	A1	that	9.0
47	A1	a	9.0
48	A1	from	7.0
49	A1	be	7.0
50	A11	the	21.0
51	A11	was	13.0
52	A11	a	11.0
53	A11	and	10.0
54	A11	in	9.0
55	A11	had	5.0
56	A11	but	3.0
57	A11	of	3.0
58	A11	our	3.0
59	A11	m	3.0
60	A12	the	69.0
61	A12	of	43.0
62	A12	a	31.0
63	A12	in	28.0
64	A12	is	15.0
65	A12	and	14.0
66	A12	our	14.0
67	A12	for	12.0
68	A12	biodiversity	9.0
69	A12	it	9.0
70	A16	the	22.0
71	A16	and	21.0
72	A16	was	18.0
73	A16	military	11.0
74	A16	of	10.0
75	A16	police	7.0
76	A16	in	7.0
77	A16	on	6.0
78	A16	it	6.0
79	A16	course	6.0
80	A9	in	5.0
81	A9	rights	4.0
82	A9	allegation	2.0
83	A9	report	2.0
84	A9	submitted	2.0
85	A9	for	2.0
86	A9	the	2.0
87	A9	of	2.0
88	A9	para	2.0
89	A9	substituted	2.0
90	A4	the	19.0
91	A4	and	7.0
92	A4	had	4.0
93	A4	he	3.0
94	A4	in	3.0
95	A4	ripe	3.0
96	A4	but	2.0
97	A4	him	2.0
98	A4	were	2.0
99	A4	her	2.0
100	A14	of	4.0
101	A14	neural	3.0
102	A14	studies	2.0
103	A14	how	2.0
104	A14	develops	2.0
105	A14	regions	2.0
106	A14	formed	2.0
107	A14	and	2.0
108	A14	cells	2.0
109	A14	study	2.0
