	genre	word	frequency
0	A12	of	26.0
1	A12	the	26.0
2	A12	in	23.0
3	A12	it	17.0
4	A12	both	16.0
5	A12	be	10.0
6	A12	that	8.0
7	A12	have	6.0
8	A12	want	6.0
9	A12	within	5.0
10	A4	in	7.0
11	A4	of	7.0
12	A4	it	7.0
13	A4	both	5.0
14	A4	then	3.0
15	A4	that	3.0
16	A4	ourselves	3.0
17	A4	the	3.0
18	A4	days	3.0
19	A4	is	2.0
20	A11	in	15.0
21	A11	the	11.0
22	A11	from	6.0
23	A11	of	5.0
24	A11	have	4.0
25	A11	both	3.0
26	A11	books	3.0
27	A11	america	2.0
28	A11	iaea	2.0
29	A11	eu	2.0
30	A7	the	14.0
31	A7	in	10.0
32	A7	both	9.0
33	A7	it	8.0
34	A7	that	6.0
35	A7	be	5.0
36	A7	we	5.0
37	A7	school	4.0
38	A7	from	4.0
39	A7	calendar	4.0
40	A14	the	15.0
41	A14	both	11.0
42	A14	in	10.0
43	A14	it	9.0
44	A14	of	8.0
45	A14	herself	4.0
46	A14	that	3.0
47	A14	another	3.0
48	A14	energy	2.0
49	A14	efficiency	2.0
50	A22	the	21.0
51	A22	of	16.0
52	A22	both	14.0
53	A22	it	12.0
54	A22	been	8.0
55	A22	in	7.0
56	A22	even	5.0
57	A22	either	5.0
58	A22	which	5.0
59	A22	armies	5.0
60	A8	the	23.0
61	A8	both	21.0
62	A8	another	17.0
63	A8	in	13.0
64	A8	of	12.0
65	A8	from	10.0
66	A8	it	9.0
67	A8	that	9.0
68	A8	be	7.0
69	A8	on	6.0
70	A16	the	28.0
71	A16	in	24.0
72	A16	of	18.0
73	A16	it	16.0
74	A16	another	12.0
75	A16	both	10.0
76	A16	from	8.0
77	A16	at	7.0
78	A16	either	6.0
79	A16	constituting	6.0
80	A1	the	55.0
81	A1	of	52.0
82	A1	it	44.0
83	A1	another	37.0
84	A1	in	32.0
85	A1	from	23.0
86	A1	that	17.0
87	A1	both	16.0
88	A1	either	14.0
89	A1	at	12.0
90	A9	the	13.0
91	A9	either	4.0
92	A9	in	4.0
93	A9	of	4.0
94	A9	item	3.0
95	A9	be	3.0
96	A9	another	3.0
97	A9	secretary	3.0
98	A9	him	3.0
99	A9	terror	3.0
100	A17	both	4.0
101	A17	it	4.0
102	A17	microsystems	3.0
103	A17	powertrain	3.0
104	A17	ourselves	2.0
105	A17	bibliographic	2.0
106	A17	household	2.0
107	A17	paralympics	2.0
108	A17	want	2.0
109	A17	playing	2.0
