	genre	word	frequency
0	A1	и	33.0
1	A1	в	32.0
2	A1	что	20.0
3	A1	на	15.0
4	A1	я	14.0
5	A1	не	14.0
6	A1	с	10.0
7	A1	это	10.0
8	A1	мы	8.0
9	A1	есть	8.0
10	A4	в	9.0
11	A4	и	9.0
12	A4	я	5.0
13	A4	на	4.0
14	A4	мы	4.0
15	A4	с	4.0
16	A4	она	3.0
17	A4	бред	3.0
18	A4	пусть	3.0
19	A4	было	3.0
20	A17	и	22.0
21	A17	в	18.0
22	A17	не	10.0
23	A17	с	9.0
24	A17	на	7.0
25	A17	а	5.0
26	A17	желатин	5.0
27	A17	что	4.0
28	A17	но	4.0
29	A17	его	4.0
30	A16	и	8.0
31	A16	в	8.0
32	A16	детей	4.0
33	A16	от	3.0
34	A16	круг	2.0
35	A16	чтения	2.0
36	A16	слова	2.0
37	A16	работает	2.0
38	A16	из	2.0
39	A16	до	2.0
40	A12	в	39.0
41	A12	и	39.0
42	A12	с	18.0
43	A12	на	17.0
44	A12	что	9.0
45	A12	вит	9.0
46	A12	не	8.0
47	A12	по	7.0
48	A12	все	7.0
49	A12	как	6.0
50	A9	и	8.0
51	A9	года	5.0
52	A9	объединенных	4.0
53	A9	голоса	3.0
54	A9	конвенции	3.0
55	A9	на	3.0
56	A9	включая	2.0
57	A9	пункт	2.0
58	A9	устав	2.0
59	A9	организации	2.0
60	A14	и	16.0
61	A14	в	10.0
62	A14	психологии	5.0
63	A14	или	5.0
64	A14	огнетушителей	4.0
65	A14	особенности	3.0
66	A14	жизненного	3.0
67	A14	теории	3.0
68	A14	когнитивная	3.0
69	A14	клингонского	3.0
70	A8	в	67.0
71	A8	и	21.0
72	A8	на	15.0
73	A8	что	14.0
74	A8	с	9.0
75	A8	по	8.0
76	A8	сегодня	7.0
77	A8	председатель	6.0
78	A8	за	6.0
79	A8	мы	5.0
80	A7	в	6.0
81	A7	и	6.0
82	A7	на	5.0
83	A7	можно	4.0
84	A7	оплата	3.0
85	A7	а	2.0
86	A7	можете	2.0
87	A7	мужчина	2.0
88	A7	наличными	2.0
89	A7	время	2.0
90	A11	и	12.0
91	A11	в	9.0
92	A11	мне	8.0
93	A11	с	6.0
94	A11	на	6.0
95	A11	не	5.0
96	A11	а	4.0
97	A11	я	4.0
98	A11	меня	4.0
99	A11	ну	4.0
