	genre	word	frequency
0	A11	наконец	10.0
1	A11	потому	7.0
2	A11	даже	6.0
3	A11	же	6.0
4	A11	честно	5.0
5	A11	вообще	5.0
6	A11	и	5.0
7	A11	мог	5.0
8	A11	где	5.0
9	A11	понимаю	4.0
10	A16	и	15.0
11	A16	году	13.0
12	A16	однако	7.0
13	A16	частности	7.0
14	A16	также	6.0
15	A16	рассказывает	6.0
16	A16	он	6.0
17	A16	резолюция	5.0
18	A16	вновь	5.0
19	A16	где	5.0
20	A14	частности	5.0
21	A14	но	3.0
22	A14	так	3.0
23	A14	месте	3.0
24	A14	это	3.0
25	A14	этом	3.0
26	A14	сложнее	3.0
27	A14	кстати	2.0
28	A14	вдвое	2.0
29	A14	то	2.0
30	A1	же	13.0
31	A1	и	13.0
32	A1	связаны	7.0
33	A1	но	6.0
34	A1	действительно	6.0
35	A1	отношению	5.0
36	A1	где	5.0
37	A1	очевидно	4.0
38	A1	частности	4.0
39	A1	никогда	4.0
40	A17	конечно	5.0
41	A17	этом	5.0
42	A17	однако	4.0
43	A17	действительно	4.0
44	A17	также	4.0
45	A17	он	4.0
46	A17	же	3.0
47	A17	наконец	3.0
48	A17	даже	3.0
49	A17	виталий	3.0
50	A7	и	7.0
51	A7	только	6.0
52	A7	но	5.0
53	A7	в	4.0
54	A7	не	4.0
55	A7	указанном	4.0
56	A7	кстати	3.0
57	A7	поскольку	3.0
58	A7	вообще	3.0
59	A7	так	3.0
60	A8	только	8.0
61	A8	также	7.0
62	A8	году	7.0
63	A8	он	5.0
64	A8	этом	4.0
65	A8	новом	4.0
66	A8	даже	4.0
67	A8	январе	3.0
68	A8	где	3.0
69	A8	него	3.0
70	A4	и	7.0
71	A4	но	7.0
72	A4	он	7.0
73	A4	разве	5.0
74	A4	его	5.0
75	A4	проч	4.0
76	A4	вновь	4.0
77	A4	поскольку	4.0
78	A4	обо	4.0
79	A4	вам	4.0
80	A9	кредиторами	2.0
81	A9	плата	2.0
82	A9	наименование	2.0
83	A9	гражданское	2.0
84	A9	тула	2.0
85	A9	интернете	2.0
86	A9	этот	1.0
87	A9	арпеджио	1.0
88	A9	информационного	1.0
89	A9	квитанции	1.0
90	A12	также	7.0
91	A12	действительно	5.0
92	A12	даже	5.0
93	A12	в	4.0
94	A12	поэтому	4.0
95	A12	только	4.0
96	A12	проч	4.0
97	A12	продукции	3.0
98	A12	полном	3.0
99	A12	новом	3.0
