	genre	word	frequency
0	A1	the	209.0
1	A1	of	117.0
2	A1	and	90.0
3	A1	in	59.0
4	A1	is	47.0
5	A1	that	45.0
6	A1	people	37.0
7	A1	nuclear	27.0
8	A1	have	24.0
9	A1	on	19.0
10	A9	the	72.0
11	A9	of	56.0
12	A9	shall	41.0
13	A9	or	31.0
14	A9	any	31.0
15	A9	and	25.0
16	A9	in	23.0
17	A9	may	21.0
18	A9	be	15.0
19	A9	order	15.0
20	A8	the	50.0
21	A8	on	21.0
22	A8	will	20.0
23	A8	said	13.0
24	A8	has	12.0
25	A8	in	11.0
26	A8	last	8.0
27	A8	of	7.0
28	A8	a	7.0
29	A8	week	6.0
30	A14	the	19.0
31	A14	in	18.0
32	A14	of	10.0
33	A14	that	10.0
34	A14	we	9.0
35	A14	a	9.0
36	A14	is	5.0
37	A14	it	4.0
38	A14	cells	4.0
39	A14	analysis	4.0
40	A4	the	121.0
41	A4	he	35.0
42	A4	of	34.0
43	A4	was	33.0
44	A4	and	31.0
45	A4	his	27.0
46	A4	in	25.0
47	A4	had	22.0
48	A4	a	17.0
49	A4	him	17.0
50	A12	the	56.0
51	A12	of	55.0
52	A12	and	54.0
53	A12	our	41.0
54	A12	in	35.0
55	A12	a	35.0
56	A12	is	23.0
57	A12	for	22.0
58	A12	are	18.0
59	A12	we	17.0
60	A7	the	118.0
61	A7	and	49.0
62	A7	on	37.0
63	A7	in	32.0
64	A7	a	29.0
65	A7	if	27.0
66	A7	of	27.0
67	A7	for	21.0
68	A7	then	20.0
69	A7	do	20.0
70	A16	the	48.0
71	A16	of	32.0
72	A16	in	24.0
73	A16	is	20.0
74	A16	a	18.0
75	A16	it	10.0
76	A16	from	9.0
77	A16	be	8.0
78	A16	was	7.0
79	A16	by	7.0
80	A17	the	29.0
81	A17	a	7.0
82	A17	and	7.0
83	A17	review	6.0
84	A17	it	5.0
85	A17	is	5.0
86	A17	of	5.0
87	A17	in	5.0
88	A17	he	5.0
89	A17	from	4.0
90	A22	a	13.0
91	A22	of	13.0
92	A22	the	11.0
93	A22	in	10.0
94	A22	has	5.0
95	A22	is	4.0
96	A22	get	4.0
97	A22	home	4.0
98	A22	credit	4.0
99	A22	that	4.0
100	A11	in	16.0
101	A11	was	15.0
102	A11	the	13.0
103	A11	a	11.0
104	A11	and	10.0
105	A11	that	10.0
106	A11	so	8.0
107	A11	of	8.0
108	A11	it	7.0
109	A11	at	7.0
