	genre	word	frequency
0	A22	the	104.0
1	A22	of	83.0
2	A22	both	82.0
3	A22	it	68.0
4	A22	in	67.0
5	A22	either	41.0
6	A22	be	39.0
7	A22	another	37.0
8	A22	that	26.0
9	A22	which	26.0
10	A12	of	49.0
11	A12	the	29.0
12	A12	in	24.0
13	A12	both	22.0
14	A12	another	17.0
15	A12	know	14.0
16	A12	it	14.0
17	A12	either	14.0
18	A12	from	12.0
19	A12	be	11.0
20	A1	the	53.0
21	A1	of	38.0
22	A1	in	35.0
23	A1	both	30.0
24	A1	from	25.0
25	A1	it	23.0
26	A1	another	23.0
27	A1	at	17.0
28	A1	either	14.0
29	A1	that	12.0
30	A17	the	47.0
31	A17	in	40.0
32	A17	both	29.0
33	A17	of	25.0
34	A17	from	19.0
35	A17	it	18.0
36	A17	another	17.0
37	A17	which	14.0
38	A17	be	10.0
39	A17	at	8.0
40	A7	the	22.0
41	A7	in	21.0
42	A7	be	12.0
43	A7	ourselves	12.0
44	A7	from	11.0
45	A7	another	11.0
46	A7	of	8.0
47	A7	it	7.0
48	A7	both	7.0
49	A7	that	6.0
50	A16	the	54.0
51	A16	in	47.0
52	A16	which	24.0
53	A16	of	22.0
54	A16	both	21.0
55	A16	it	20.0
56	A16	is	19.0
57	A16	be	17.0
58	A16	another	17.0
59	A16	him	16.0
60	A8	in	88.0
61	A8	both	80.0
62	A8	the	72.0
63	A8	it	60.0
64	A8	from	36.0
65	A8	another	30.0
66	A8	of	29.0
67	A8	which	19.0
68	A8	either	18.0
69	A8	her	18.0
70	A9	in	7.0
71	A9	the	6.0
72	A9	both	6.0
73	A9	be	5.0
74	A9	of	4.0
75	A9	from	3.0
76	A9	inviolability	3.0
77	A9	beings	3.0
78	A9	consists	3.0
79	A9	which	3.0
80	A11	in	10.0
81	A11	him	6.0
82	A11	has	5.0
83	A11	of	5.0
84	A11	niece	3.0
85	A11	both	3.0
86	A11	the	3.0
87	A11	saying	2.0
88	A11	know	2.0
89	A11	he	2.0
90	A14	in	22.0
91	A14	of	20.0
92	A14	the	8.0
93	A14	constituting	8.0
94	A14	another	5.0
95	A14	both	4.0
96	A14	either	4.0
97	A14	numbers	4.0
98	A14	from	4.0
99	A14	it	4.0
100	A4	the	43.0
101	A4	of	14.0
102	A4	another	12.0
103	A4	in	8.0
104	A4	both	8.0
105	A4	have	6.0
106	A4	which	6.0
107	A4	it	5.0
108	A4	that	5.0
109	A4	came	5.0
