	new word	new_genre	old word	old_genre
0	solicit	A22	gather	A1
1	comrade	A22	comrades	A1
2	listening	A22	hear	A1
3	dissertations	A22	lecture	A1
4	It	A22	The	A1
5	worldwide	A22	world	A1
6	modok	A22	spectre	A1
7	Moreover	A22	Thus	A1
8	writing	A22	wrote	A1
9	word	A22	words	A1
10	wants	A22	will	A1
11	relation	A22	relate	A1
12	Everything	A22	All	A1
13	Historian	A22	History	A1
14	romances	A22	tale	A1
15	confronting	A22	struggles	A1
16	classrooms	A22	classes	A1
17	Slave	A22	Slaves	A1
18	workers	A22	labourers	A1
19	verb	A22	word	A1
20	waged	A22	fought	A1
21	linearly	A22	constant	A1
22	opposing	A22	opposition	A1
23	Instead	A22	While	A1
24	souvarine	A22	bourgeois	A1
25	conversion	A22	converts	A1
26	The	A22	For	A1
27	cruel	A22	brutal	A1
28	solids	A22	solid	A1
29	souvarine	A22	bourgeois	A1
30	contest	A22	competition	A1
31	bourgeoisie	A22	bourgeois	A1
32	cash	A22	money	A1
33	creating	A22	creates	A1
34	copyleft	A22	free	A1
35	international	A22	world	A1
36	encouraged	A22	encourage	A1
37	Jew	A12	Judaism	A1
38	Henin	A1	Wimbledon	A9
39	Stratford	A1	Putney	A9
40	Flickr	A1	Commons	A9
41	Legislation	A1	Act	A9
42	energy	A1	power	A9
43	accorded	A1	given	A9
44	Callington	A1	Putney	A9
45	formed	A1	incorporated	A9
46	talked	A1	said	A9
47	Legislation	A1	Act	A9
48	know	A1	do	A9
49	amending	A1	repeal	A9
50	but	A1	excepting	A9
51	repeals	A1	amended	A9
52	accomplish	A1	make	A9
53	comprises	A1	constitute	A9
54	after	A1	following	A9
55	commencing	A1	commence	A9
56	impact	A1	effect	A9
57	shortly	A1	immediately	A9
58	must	A1	shall	A9
59	has	A1	have	A9
60	Ecosystem	A1	Environment	A9
61	must	A1	shall	A9
62	redesigned	A1	altered	A9
63	regulations	A1	provisions	A9
64	talked	A1	said	A9
65	Legislation	A1	Act	A9
66	know	A1	do	A9
67	imposing	A1	impose	A9
68	equalized	A1	penalties	A9
69	equalized	A1	penalties	A9
70	equivalents	A1	respectively	A9
71	explained	A1	mentioned	A9
72	ADIEU	A1	BYE	A9
73	ORDINANCES	A1	LAWS	A9
74	Constructed	A1	Construction	A9
75	It	A1	The	A9
76	Clijsters	A1	Wimbledon	A9
77	Clijsters	A1	Wimbledon	A9
78	comprised	A1	included	A9
79	especially	A1	particularly	A9
80	called	A8	named	A1
81	rotating	A8	spinning	A1
82	urging	A8	invitation	A1
83	regretted	A8	regret	A1
84	quite	A8	much	A1
85	smoother	A8	firmer	A1
86	commanding	A8	command	A1
87	wondering	A8	ask	A1
88	topic	A8	subject	A1
89	leader	A8	leadership	A1
90	have	A8	has	A1
91	regretted	A8	regret	A1
92	syllable	A8	words	A1
93	could	A8	ought	A1
94	be	A8	have	A1
95	doing	A8	done	A1
96	has	A8	have	A1
97	Chimps	A8	Primates	A1
98	duped	A8	fooled	A1
99	fluency	A8	language	A1
100	pretty	A8	very	A1
101	concerns	A8	concerned	A1
102	treat	A8	treatment	A1
103	orthodoxy	A8	orthodox	A1
104	Multicast	A8	Network	A1
105	is	A8	has	A1
106	hanging	A8	hung	A1
107	drying	A8	dry	A1
108	Subcommission	A8	Commission	A1
109	know	A8	do	A1
110	presume	A8	think	A1
