	genre	word	frequency
0	A1	people	28.0
1	A1	have	25.0
2	A1	children	25.0
3	A1	nations	13.0
4	A1	nuclear	13.0
5	A1	world	11.0
6	A1	human	9.0
7	A1	government	9.0
8	A1	be	8.0
9	A1	many	8.0
10	A9	shall	31.0
11	A9	be	22.0
12	A9	terms	13.0
13	A9	act	10.0
14	A9	contract	10.0
15	A9	person	10.0
16	A9	agreement	8.0
17	A9	site	8.0
18	A9	order	8.0
19	A9	conditions	7.0
20	A8	will	18.0
21	A8	said	14.0
22	A8	has	13.0
23	A8	last	8.0
24	A8	week	7.0
25	A8	new	7.0
26	A8	have	6.0
27	A8	be	5.0
28	A8	says	5.0
29	A8	pay	5.0
30	A14	scattering	8.0
31	A14	have	7.0
32	A14	idea	6.0
33	A14	cells	4.0
34	A14	analysis	4.0
35	A14	shown	4.0
36	A14	kinase	4.0
37	A14	nuclear	3.0
38	A14	equations	3.0
39	A14	time	3.0
40	A12	company	9.0
41	A12	business	7.0
42	A12	work	7.0
43	A12	have	7.0
44	A12	new	6.0
45	A12	be	6.0
46	A12	help	6.0
47	A12	information	5.0
48	A12	customer	5.0
49	A12	team	5.0
50	A7	do	18.0
51	A7	should	15.0
52	A7	will	14.0
53	A7	click	11.0
54	A7	be	10.0
55	A7	have	10.0
56	A7	need	9.0
57	A7	use	8.0
58	A7	mailbox	8.0
59	A7	choose	7.0
60	A4	had	22.0
61	A4	will	11.0
62	A4	have	10.0
63	A4	king	5.0
64	A4	each	4.0
65	A4	began	4.0
66	A4	think	4.0
67	A4	wife	4.0
68	A4	little	4.0
69	A4	says	4.0
70	A17	review	4.0
71	A17	google	3.0
72	A17	company	2.0
73	A17	engadget	2.0
74	A17	good	2.0
75	A17	quality	2.0
76	A17	polar	2.0
77	A17	synth	2.0
78	A17	movie	1.0
79	A17	rescue	1.0
80	A16	system	8.0
81	A16	number	5.0
82	A16	has	4.0
83	A16	telescope	4.0
84	A16	astronomy	3.0
85	A16	energy	3.0
86	A16	sun	3.0
87	A16	plants	3.0
88	A16	chemical	3.0
89	A16	each	3.0
90	A22	loan	8.0
91	A22	get	5.0
92	A22	be	5.0
93	A22	hard	5.0
94	A22	people	4.0
95	A22	home	4.0
96	A22	credit	4.0
97	A22	loans	4.0
98	A22	buy	3.0
99	A22	page	3.0
100	A11	think	7.0
101	A11	life	6.0
102	A11	work	6.0
103	A11	wanted	6.0
104	A11	started	5.0
105	A11	do	5.0
106	A11	really	4.0
107	A11	people	4.0
108	A11	felt	4.0
109	A11	years	3.0
