	genre	word	frequency
0	A16	be	11.0
1	A16	have	11.0
2	A16	residents	9.0
3	A16	ordering	8.0
4	A16	societal	7.0
5	A16	has	6.0
6	A16	neurologic	5.0
7	A16	infants	5.0
8	A16	sourced	5.0
9	A16	repeals	5.0
10	A12	have	22.0
11	A12	know	12.0
12	A12	wants	10.0
13	A12	be	9.0
14	A12	terminology	8.0
15	A12	want	7.0
16	A12	needs	6.0
17	A12	hereof	5.0
18	A12	agreed	5.0
19	A12	lender	5.0
20	A1	have	15.0
21	A1	wants	10.0
22	A1	legislation	4.0
23	A1	has	4.0
24	A1	regulations	4.0
25	A1	three	4.0
26	A1	want	4.0
27	A1	lives	4.0
28	A1	because	4.0
29	A1	thought	4.0
30	A8	have	16.0
31	A8	has	13.0
32	A8	hereof	8.0
33	A8	fissile	8.0
34	A8	maintains	5.0
35	A8	agreement	5.0
36	A8	residents	5.0
37	A8	havana	5.0
38	A8	be	4.0
39	A8	know	4.0
40	A22	have	18.0
41	A22	know	13.0
42	A22	be	12.0
43	A22	wants	8.0
44	A22	somebody	8.0
45	A22	ought	7.0
46	A22	employ	5.0
47	A22	presume	5.0
48	A22	choices	5.0
49	A22	has	5.0
50	A14	mechanism	4.0
51	A14	numbering	4.0
52	A14	cannabis	3.0
53	A14	integrator	3.0
54	A14	facilitates	3.0
55	A14	imperialist	3.0
56	A14	previous	3.0
57	A14	ussr	3.0
58	A14	ny	3.0
59	A14	be	2.0
60	A7	want	6.0
61	A7	know	5.0
62	A7	have	4.0
63	A7	difficult	3.0
64	A7	commerce	3.0
65	A7	searchable	3.0
66	A7	begin	3.0
67	A7	be	3.0
68	A7	individuals	3.0
69	A7	ny	2.0
70	A9	personhood	2.0
71	A9	copyrights	2.0
72	A9	assemblies	2.0
73	A9	inviolability	2.0
74	A9	repurchase	1.0
75	A9	farmland	1.0
76	A9	outlook	1.0
77	A9	clicking	1.0
78	A9	cursor	1.0
79	A9	viewed	1.0
80	A17	want	7.0
81	A17	days	5.0
82	A17	igoogle	4.0
83	A17	bedroom	4.0
84	A17	has	4.0
85	A17	mosul	4.0
86	A17	presume	3.0
87	A17	quite	3.0
88	A17	hardback	3.0
89	A17	taking	3.0
90	A11	has	7.0
91	A11	asking	3.0
92	A11	have	3.0
93	A11	say	2.0
94	A11	believe	2.0
95	A11	crying	2.0
96	A11	lawfulness	2.0
97	A11	agendas	2.0
98	A11	nationwide	2.0
99	A11	croatia	2.0
100	A4	majorities	2.0
101	A4	econsultancy	2.0
102	A4	spacecraft	2.0
103	A4	victims	1.0
104	A4	seem	1.0
105	A4	alternatives	1.0
106	A4	inconceivable	1.0
107	A4	entrenchments	1.0
108	A4	loves	1.0
109	A4	sold	1.0
