	genre	word	frequency
0	A22	it	11.0
1	A22	have	11.0
2	A22	usa	10.0
3	A22	ourselves	10.0
4	A22	be	9.0
5	A22	know	9.0
6	A22	that	8.0
7	A22	somebody	8.0
8	A22	wants	7.0
9	A22	of	7.0
10	A12	know	15.0
11	A12	want	11.0
12	A12	of	9.0
13	A12	have	9.0
14	A12	even	7.0
15	A12	be	7.0
16	A12	wants	7.0
17	A12	screening	7.0
18	A12	is	6.0
19	A12	either	5.0
20	A1	wants	8.0
21	A1	must	6.0
22	A1	have	6.0
23	A1	want	6.0
24	A1	regulations	5.0
25	A1	of	5.0
26	A1	is	5.0
27	A1	legislation	4.0
28	A1	talked	4.0
29	A1	but	4.0
30	A8	have	15.0
31	A8	has	15.0
32	A8	of	10.0
33	A8	it	10.0
34	A8	in	8.0
35	A8	howsoever	7.0
36	A8	be	6.0
37	A8	sir	6.0
38	A8	hereof	5.0
39	A8	kuomintang	5.0
40	A7	in	5.0
41	A7	economies	5.0
42	A7	that	4.0
43	A7	smartphones	4.0
44	A7	both	3.0
45	A7	have	3.0
46	A7	know	3.0
47	A7	bring	3.0
48	A7	higher	3.0
49	A7	does	3.0
50	A16	residents	12.0
51	A16	be	11.0
52	A16	endeavouring	8.0
53	A16	neurologic	6.0
54	A16	in	6.0
55	A16	ourselves	6.0
56	A16	participatory	6.0
57	A16	have	6.0
58	A16	infants	5.0
59	A16	even	5.0
60	A9	beings	5.0
61	A9	either	4.0
62	A9	inviolability	4.0
63	A9	personhood	3.0
64	A9	be	3.0
65	A9	meal	3.0
66	A9	proclamation	2.0
67	A9	infringe	2.0
68	A9	international	2.0
69	A9	ethics	2.0
70	A17	want	5.0
71	A17	has	5.0
72	A17	quite	4.0
73	A17	the	4.0
74	A17	dissertations	4.0
75	A17	hardback	3.0
76	A17	tiled	3.0
77	A17	sideboards	3.0
78	A17	of	3.0
79	A17	days	3.0
80	A11	has	7.0
81	A11	say	2.0
82	A11	asking	2.0
83	A11	believe	2.0
84	A11	crying	2.0
85	A11	have	2.0
86	A11	sparked	2.0
87	A11	toddler	2.0
88	A11	named	1.0
89	A11	aopen	1.0
90	A14	of	7.0
91	A14	mechanism	4.0
92	A14	nonetheless	4.0
93	A14	integrator	3.0
94	A14	numbering	3.0
95	A14	binoculars	3.0
96	A14	inhabitants	2.0
97	A14	ephemeris	2.0
98	A14	areas	2.0
99	A14	parts	2.0
100	A4	victims	1.0
101	A4	seem	1.0
102	A4	ascent	1.0
103	A4	disgusting	1.0
104	A4	dreamed	1.0
105	A4	choice	1.0
106	A4	strangled	1.0
107	A4	position	1.0
108	A4	sold	1.0
109	A4	muscular	1.0
