	new word	new_genre	old word	old_genre
0	трудов	A16	научных	A14
1	учебников	A16	работ	A14
2	написал	A16	автор	A14
3	культурологии	A16	научной	A14
4	опять	A16	А	A14
5	он	A16	В	A14
6	чайковского	A16	П	A14
7	Процессуальных	A1	Уголовный	A9
8	конституции	A1	кодекс	A9
9	УГОЛОВНОГО	A1	УК	A9
10	МИНЭКОНОМРАЗВИТИЯ	A1	РФ	A9
11	половина	A1	часть	A9
12	Освобождения	A1	Освобождение	A9
13	Руководитель	A1	Глава	A9
14	Освобождения	A1	Освобождение	A9
15	Освобожден	A1	Освобождение	A9
16	наказания	A1	ответственности	A9
17	Лидер	A1	Глава	A9
18	компетенции	A1	ответственности	A9
19	Повторюсь	A1	Статья	A9
20	Освобожден	A1	Освобождение	A9
21	связь	A1	связи	A9
22	в	A1	впервые	A9
23	маленький	A1	небольшой	A9
24	убийства	A1	преступления	A9
25	желая	A1	добровольно	A9
26	преследованию	A1	расследованию	A9
27	преступлений	A1	преступления	A9
28	вред	A1	ущерб	A9
29	следовательно	A1	образом	A9
30	пострадали	A1	результате	A9
31	убийства	A1	преступления	A9
32	причиной	A1	вследствие	A9
33	политически	A1	общественно	A9
34	шаблон	A1	категории	A9
35	изначально	A1	специально	A9
36	подлинного	A1	настоящего	A9
37	Законов	A1	Кодекса	A9
38	Повторюсь	A1	Статья	A9
39	года	A1	сентября	A8
40	уполномоченный	A1	представитель	A8
41	заверил	A1	заявил	A8
42	Президентского	A1	Президента	A8
43	Организатор	A1	Лидер	A8
44	сказала	A1	заявила	A8
45	пишет	A1	утверждает	A8
46	намерена	A1	заявила	A8
47	путина	A1	президента	A8
48	осуждать	A1	навязывать	A8
49	Многонациональных	A1	Национальный	A8
50	абсолютным	A1	лидером	A8
51	докладе	A1	заявлении	A8
52	треть	A16	процентов	A1
53	союз	A16	мир	A1
54	принялись	A16	стали	A1
55	ввели	A16	расширили	A1
56	крупнейшим	A16	мире	A1
57	стала	A16	стали	A1
58	грузов	A16	тонн	A1
59	настоящее	A16	сегодня	A1
60	тыс	A16	тонн	A1
61	Названное	A16	Оно	A1
62	оплатить	A7	приобрести	A12
63	заявление	A7	предложение	A12
64	Говорим	A7	Мы	A12
65	хотим	A7	предлагаем	A12
66	короткий	A7	широкий	A12
67	изготавливаться	A7	изготавливаются	A12
68	Словно	A7	Сквозь	A12
69	граница	A7	проходит	A12
70	электричества	A7	электрический	A12
71	индикатор	A7	элемент	A12
72	подобно	A7	благодаря	A12
73	воздух	A7	тепло	A12
74	же	A7	В	A12
75	из	A7	состоит	A12
76	победу	A7	преимущество	A12
77	каких	A7	подобных	A12
78	устройств	A7	систем	A12
79	Организационные	A7	Технические	A12
80	типы	A7	характеристики	A12
81	орудия	A7	мм	A12
82	банковского	A8	торгового	A1
83	Японии	A8	Китая	A1
84	речного	A8	торгового	A1
85	снижения	A8	баланса	A1
86	млрд	A8	миллиарда	A1
87	возвращением	A8	обращением	A1
88	Монголию	A8	Китай	A1
89	Супермаркет	A8	Торговый	A1
90	Монголии	A8	Китая	A1
91	промышленный	A8	экономический	A1
92	Кнр	A8	Китая	A1
93	кнр	A8	китайской	A1
94	Кнр	A8	Китая	A1
95	Наверняка	A8	Действительно	A1
96	предприятии	A7	завод	A12
97	Директором	A7	Главным	A12
98	стоимость	A7	достоинством	A12
99	основным	A7	является	A12
100	абзац	A7	материал	A12
101	неожиданно	A7	временем	A12
102	любого	A7	такого	A12
103	иметь	A7	имеет	A12
104	работоспособность	A7	надежность	A12
105	документами	A7	материалами	A12
106	заводах	A7	завод	A12
107	др	A7	г	A12
108	поселения	A7	района	A12
109	пределах	A7	зоне	A12
110	приамурья	A7	края	A12
111	машиностроения	A7	завода	A12
112	заставила	A7	позволила	A12
113	приобрести	A7	выпустить	A12
