	genre	word	frequency
0	A14	в	29.0
1	A14	а	24.0
2	A14	и	14.0
3	A14	п	12.0
4	A14	исследования	11.0
5	A14	с	9.0
6	A14	методов	9.0
7	A14	д	9.0
8	A14	аннотация	7.0
9	A14	задача	7.0
10	A9	глава	17.0
11	A9	статья	14.0
12	A9	фондов	8.0
13	A9	системе	7.0
14	A9	почтовой	7.0
15	A9	пользования	7.0
16	A9	связи	6.0
17	A9	преступления	6.0
18	A9	конвенции	6.0
19	A9	деятельности	6.0
20	A8	заявил	78.0
21	A8	президент	58.0
22	A8	в	42.0
23	A8	сообщает	39.0
24	A8	об	32.0
25	A8	года	32.0
26	A8	президента	31.0
27	A8	словам	29.0
28	A8	году	25.0
29	A8	по	25.0
30	A1	россии	19.0
31	A1	страны	9.0
32	A1	которые	9.0
33	A1	китая	8.0
34	A1	нам	8.0
35	A1	германии	8.0
36	A1	это	7.0
37	A1	нашей	7.0
38	A1	власти	7.0
39	A1	россия	7.0
40	A12	позволяет	30.0
41	A12	в	26.0
42	A12	благодаря	24.0
43	A12	компания	24.0
44	A12	модель	23.0
45	A12	х	21.0
46	A12	это	21.0
47	A12	является	17.0
48	A12	который	16.0
49	A12	также	16.0
50	A7	нажмите	7.0
51	A7	поиска	7.0
52	A7	результаты	7.0
53	A7	программы	6.0
54	A7	в	6.0
55	A7	результатов	6.0
56	A7	поиск	5.0
57	A7	камера	5.0
58	A7	съемки	5.0
59	A7	программу	4.0
60	A4	не	5.0
61	A4	он	4.0
62	A4	егор	4.0
63	A4	и	3.0
64	A4	давай	3.0
65	A4	егора	3.0
66	A4	гензель	2.0
67	A4	гретель	2.0
68	A4	в	2.0
69	A4	лесу	2.0
70	A16	озера	4.0
71	A16	локоть	3.0
72	A16	золотой	3.0
73	A16	остров	3.0
74	A16	является	2.0
75	A16	северу	2.0
76	A16	озеро	2.0
77	A16	происхождение	2.0
78	A16	цвета	2.0
79	A16	равнялся	2.0
80	A17	фильм	10.0
81	A17	книги	7.0
82	A17	сюжет	4.0
83	A17	игра	4.0
84	A17	фильма	4.0
85	A17	это	4.0
86	A17	вполне	3.0
87	A17	книга	3.0
88	A17	в	3.0
89	A17	легко	3.0
90	A11	это	7.0
91	A11	хотя	4.0
92	A11	я	4.0
93	A11	мои	3.0
94	A11	правда	3.0
95	A11	мне	3.0
96	A11	хочу	3.0
97	A11	точнее	3.0
98	A11	могу	3.0
99	A11	моего	3.0
