	genre	word	frequency
0	A16	года	8.0
1	A16	он	7.0
2	A16	виталий	5.0
3	A16	кстати	5.0
4	A16	однако	5.0
5	A16	российской	5.0
6	A16	кучмы	4.0
7	A16	руб	4.0
8	A16	заверил	4.0
9	A16	только	4.0
10	A1	года	42.0
11	A1	генеральный	34.0
12	A1	заверил	31.0
13	A1	рассказывая	22.0
14	A1	и	21.0
15	A1	следующем	15.0
16	A1	будем	15.0
17	A1	заявляет	14.0
18	A1	путина	12.0
19	A1	указаниям	12.0
20	A7	необходимо	12.0
21	A7	товаров	7.0
22	A7	купила	5.0
23	A7	марок	5.0
24	A7	спрашиваете	5.0
25	A7	основным	4.0
26	A7	комплектующих	4.0
27	A7	привело	4.0
28	A7	написать	4.0
29	A7	обновлений	4.0
30	A8	кстати	6.0
31	A8	канаде	4.0
32	A8	корпорации	4.0
33	A8	фотонов	4.0
34	A8	этом	4.0
35	A8	впрочем	4.0
36	A8	частности	4.0
37	A8	монголии	3.0
38	A8	кнр	3.0
39	A8	татарстана	3.0
40	A12	заверил	6.0
41	A12	руб	6.0
42	A12	действительно	5.0
43	A12	года	5.0
44	A12	обслуживания	4.0
45	A12	и	4.0
46	A12	году	4.0
47	A12	яндекса	4.0
48	A12	долл	3.0
49	A12	грн	3.0
50	A17	действительно	9.0
51	A17	вообще	8.0
52	A17	интерьера	8.0
53	A17	этажа	8.0
54	A17	необходимо	7.0
55	A17	автомобиля	7.0
56	A17	таки	7.0
57	A17	кузова	6.0
58	A17	надо	6.0
59	A17	был	6.0
60	A9	федерации	6.0
61	A9	пожалуйста	5.0
62	A9	обязательную	5.0
63	A9	образовательной	4.0
64	A9	определенные	4.0
65	A9	выполнения	4.0
66	A9	сначала	4.0
67	A9	основным	3.0
68	A9	биологического	3.0
69	A9	пользователями	3.0
70	A4	разве	7.0
71	A4	знаете	3.0
72	A4	усср	3.0
73	A4	мае	3.0
74	A4	семантикой	2.0
75	A4	думаю	2.0
76	A4	теперь	2.0
77	A4	декабре	2.0
78	A4	мая	2.0
79	A4	палестинцев	2.0
80	A14	координат	6.0
81	A14	металлоконструкций	5.0
82	A14	контейнеров	4.0
83	A14	ракет	4.0
84	A14	технологическая	3.0
85	A14	цивилизация	3.0
86	A14	этому	3.0
87	A14	теоретическая	3.0
88	A14	геометрических	3.0
89	A14	проемов	3.0
90	A11	думаю	10.0
91	A11	просто	4.0
92	A11	вообще	4.0
93	A11	понимаю	4.0
94	A11	волноваться	3.0
95	A11	остальные	3.0
96	A11	был	3.0
97	A11	прости	3.0
98	A11	чего	2.0
99	A11	мешок	2.0
