	genre	word	frequency
0	A14	и	89.0
1	A14	в	82.0
2	A14	с	42.0
3	A14	а	34.0
4	A14	о	17.0
5	A14	исследования	14.0
6	A14	к	14.0
7	A14	на	12.0
8	A14	п	11.0
9	A14	для	10.0
10	A9	и	37.0
11	A9	в	29.0
12	A9	статья	19.0
13	A9	глава	16.0
14	A9	от	11.0
15	A9	на	9.0
16	A9	настоящего	7.0
17	A9	с	7.0
18	A9	федеральный	7.0
19	A9	о	7.0
20	A8	в	335.0
21	A8	на	159.0
22	A8	и	104.0
23	A8	заявил	86.0
24	A8	что	70.0
25	A8	по	69.0
26	A8	президент	65.0
27	A8	с	59.0
28	A8	из	46.0
29	A8	сообщает	44.0
30	A1	и	56.0
31	A1	в	52.0
32	A1	что	22.0
33	A1	не	19.0
34	A1	как	19.0
35	A1	на	19.0
36	A1	с	16.0
37	A1	мы	16.0
38	A1	россии	16.0
39	A1	от	10.0
40	A12	и	232.0
41	A12	в	138.0
42	A12	с	76.0
43	A12	для	76.0
44	A12	на	46.0
45	A12	из	41.0
46	A12	позволяет	27.0
47	A12	модель	27.0
48	A12	благодаря	24.0
49	A12	компания	23.0
50	A4	он	15.0
51	A4	и	14.0
52	A4	в	9.0
53	A4	не	9.0
54	A4	на	6.0
55	A4	с	6.0
56	A4	меня	6.0
57	A4	было	4.0
58	A4	по	4.0
59	A4	дориан	3.0
60	A7	в	25.0
61	A7	и	21.0
62	A7	на	10.0
63	A7	с	8.0
64	A7	для	7.0
65	A7	нажмите	6.0
66	A7	программы	6.0
67	A7	г	6.0
68	A7	поиск	5.0
69	A7	съемки	5.0
70	A16	в	12.0
71	A16	локоть	8.0
72	A16	озера	4.0
73	A16	от	4.0
74	A16	с	4.0
75	A16	к	3.0
76	A16	до	3.0
77	A16	остров	3.0
78	A16	около	2.0
79	A16	северу	2.0
80	A17	и	13.0
81	A17	фильм	10.0
82	A17	в	8.0
83	A17	не	8.0
84	A17	книги	7.0
85	A17	я	6.0
86	A17	а	5.0
87	A17	сюжет	4.0
88	A17	игра	4.0
89	A17	на	4.0
90	A11	я	15.0
91	A11	меня	11.0
92	A11	не	11.0
93	A11	и	10.0
94	A11	мне	8.0
95	A11	в	7.0
96	A11	но	5.0
97	A11	тоже	5.0
98	A11	за	4.0
99	A11	что	4.0
