	genre	word	frequency
0	A16	и	51.0
1	A16	он	16.0
2	A16	но	15.0
3	A16	же	14.0
4	A16	наконец	14.0
5	A16	году	12.0
6	A16	вместе	11.0
7	A16	где	10.0
8	A16	кстати	9.0
9	A16	впрочем	9.0
10	A1	и	129.0
11	A1	же	88.0
12	A1	наконец	61.0
13	A1	где	52.0
14	A1	года	39.0
15	A1	только	36.0
16	A1	генеральный	36.0
17	A1	заверил	33.0
18	A1	рассказывая	26.0
19	A1	действительно	23.0
20	A7	необходимо	12.0
21	A7	наконец	10.0
22	A7	однако	8.0
23	A7	же	7.0
24	A7	году	6.0
25	A7	полном	6.0
26	A7	и	6.0
27	A7	но	5.0
28	A7	товаров	5.0
29	A7	удобства	5.0
30	A8	однако	22.0
31	A8	также	20.0
32	A8	наконец	15.0
33	A8	году	12.0
34	A8	частности	12.0
35	A8	но	11.0
36	A8	только	11.0
37	A8	этом	10.0
38	A8	дальнейшего	9.0
39	A8	вновь	8.0
40	A12	и	25.0
41	A12	даже	22.0
42	A12	году	7.0
43	A12	только	7.0
44	A12	новом	7.0
45	A12	также	7.0
46	A12	года	6.0
47	A12	действительно	6.0
48	A12	ведь	6.0
49	A12	небольшом	5.0
50	A17	наконец	66.0
51	A17	однако	39.0
52	A17	же	31.0
53	A17	и	21.0
54	A17	вновь	21.0
55	A17	дальнейшего	19.0
56	A17	где	18.0
57	A17	этом	18.0
58	A17	связаны	16.0
59	A17	только	15.0
60	A9	и	33.0
61	A9	поскольку	14.0
62	A9	полном	11.0
63	A9	следующем	10.0
64	A9	указанном	9.0
65	A9	только	8.0
66	A9	не	7.0
67	A9	где	6.0
68	A9	же	6.0
69	A9	пожалуйста	5.0
70	A4	впрочем	5.0
71	A4	будто	4.0
72	A4	тебя	4.0
73	A4	поскольку	4.0
74	A4	усср	3.0
75	A4	недалеко	3.0
76	A4	декабре	3.0
77	A4	он	3.0
78	A4	говорю	3.0
79	A4	думаю	2.0
80	A14	наконец	9.0
81	A14	и	7.0
82	A14	координат	5.0
83	A14	подбородок	5.0
84	A14	проч	5.0
85	A14	следующем	4.0
86	A14	частности	4.0
87	A14	то	4.0
88	A14	контейнеров	4.0
89	A14	знаем	3.0
90	A11	думаю	11.0
91	A11	даже	9.0
92	A11	наконец	8.0
93	A11	вообще	8.0
94	A11	понимаю	5.0
95	A11	поэтому	4.0
96	A11	мог	4.0
97	A11	потому	4.0
98	A11	впрочем	4.0
99	A11	где	3.0
