,changed_words_num,new_model_target,old_model_target,old_text,target,text
0,5.0,A12,A7,"You can not live to please everyone else . You have to edify , educate and fulfill your own  dreams and destiny , and hope that whatever your art is that you 're putting out there , if it 's received , great , I respect you for receiving it . If it 's not received , great , I respect you for not . </doc>",A12,"You can nor live to please everyone else . You be to edify , educate and fulfill your respective  reverie and destiny , and hope that anyone your art is that you 're putting out there , if it 's received , great , I respect you for receiving it . If it 's not received , great , I respect you for not . </doc>"
1,40.0,A12,A22,"Harlan , IA Quick Cash Pay Day Loan In 1 Hr Fast Pay Day Loans Online Iowa OPEN 24 HOURS Immediate Pay Day Loan Online Harlan IA - Easy Cash ! Some workers desire abrupt payday loans guaranteed no fax into trying places throughout their marriages . Acquiring a mortgage payment recurrently will be a disturbance . Do not discourage your life . Projection means funding . Sustain needed time and let groups oversee the labor . Our recognized banks extend the most projections everywhere to provide you the  critical  advance you require  immediately . Auto loans do not wait that is  why you get our payday loans with no  faxing  papers Harlan Township rapidly . We 'll supply you prompt resources and then you 'll be able to change your misfortune . Our networks  readily  manage alarming credit ratings and attain the money you need quickly . Please do not put  chance  in  worry ! Acquire our Harlan Iowa easy online faxless cash advance immediately . Just do n't consider speculations with risky websites and conniving banks . Our associates deliver instant  and steady opportunities to meet your situation . When hiring these services , unhealthy rankings do n't impede your recognizing the quick and easy loans nobad credit in Harlan IA you exceedingly need . People do n't have the wealth or wastefulness to send the delicate details to dangerous agents . Acquiring the cash payday loan you anticipate was never so fast . Guarantee your new secure loan by following just two swift steps . This agreement habitually consists of just a single day after which the clients receive their payment without delay . Get accepted and stockpile the extension soon ! Do people demand aid to cover the bank loans ? No household desires to rely",A12,"Harlan , IA Quick Cash Pay Day Loan In 1 Hr Fast Pay Day Loans Online Iowa OPEN 24 HOURS Immediate Pay Day Loan Online Harlan IA - Easy Cash ! Some workers desire abrupt payday loans guaranteed no fax into trying places throughout their marriages . Acquiring a remortgage payment recurrently wants be a intensification . Do not discourage your life . Dimensionality means funding . Sustain needed hour and let organisations oversee the labor . Our recognized banks extend the most estimations everywhere the provide you of  essential  advanced you requirements  quickly . Automotive loans do not wait that provides  so you come our borrowers loans with any  conferencing  newsletters Harlan Village rapidly . We 'll supply you prompt resources and again you 'll be able the change your misfortune . Our leveraging  conveniently  operate alarming credit ratings and fulfilling the cash you needed quickly . Please do not bring  opportunity  of  trouble ! Acquire our Harlan Wyoming easy online faxless cash advance quickly . Just do n't consider inferences with risky websites and conniving banking . Our associates deliver customizable  both steady opportunities to meet your situation . When hiring these services , unhealthy rankings do n't impede your recognizing the quick and easy loans nobad credit in Harlan IA you exceedingly need . People do n't have the wealth or wastefulness to send the delicate details to dangerous agents . Acquiring the cash payday loan you anticipate was never so fast . Guarantee your new secure loan by following just two swift steps . This agreement habitually consists of just a single day after which the clients receive their payment without delay . Get accepted and stockpile the extension soon ! Do people demand aid to cover the bank loans ? No household desires to rely"
2,3.0,A12,A8,"The future of the media business belongs to those who embrace platforms for data sharing : from Flickr ( people sharing photos ) to Facebook ( people sharing personal information ) , how content gets shared is now just as critical as the content itself . Enter Sportso : the future of sharing sports information . Sportso is XML Team's open , web-based editorial and distribution system . Developed to satisfy the needs and speeds of professional sports editors and ordinary fans alike , Sportso is also uniquely flexible and user-friendly . Its functionality allows for easy data entry and league management by groups as diverse as professional news-gathers and rec-league scorekeepers . Sportso was recently adopted as the editorial platform for the National Sports Content Sharing Network , an affiliation of over 70 major North American metropolitan newspapers , who needed a new , dependable , and cost-effective way to share content across their online and print publications . Engineered through years of experience with clients as diverse as Reuters , ESPN , blogger networks , Topps , NHL.com , and major league teams , Sportso lets you generate , shape , share , and give away or license content that you own . And it 's versatile : syndicating your data , your way , as XML , as HTML , or as Pagination System-ready formats such as Adobe InDesign and Quark XPress . </doc>",A12,"The future of the hyperlocal business belongs to those who embrace platforms for data sharing : from Images ( people sharing photos ) to Facebook ( people sharing personal information ) , how content gets shared is now just as critical as the content itself . Enter Sportso : the future of sharing sports information . Sportso is XML Team's open , web-based editorial and distribution system . Developed to satisfy the needs and speeds of professional sports editors and ordinary fans alike , Sportso is also uniquely flexible and user-friendly . Its functionality allows for easy data entry and league management by groups as diverse as professional news-gathers and rec-league scorekeepers . Sportso was recently adopted as the editorial platform for the National Sports Content Sharing Network , an affiliation of over 70 major North American metropolitan newspapers , who needed a new , dependable , and cost-effective way to share content across their online and print publications . Engineered through years of experience with clients as diverse as Ngosource , ESPN , blogger networks , Topps , NHL.com , and major league teams , Sportso lets you generate , shape , share , and give away or license content that you own . And it 's versatile : syndicating your data , your way , as XML , as HTML , or as Pagination System-ready formats such as Adobe InDesign and Quark XPress . </doc>"
3,28.0,A12,A7," After studying the Wordtracker results for the MSN and Google  search engines for words that include "" massage , "" we picked the third result , "" Techniques of Massage , "" because it 's an excellent and appropriate angle for our client . The # 1 result  in MSN has a KEI of 3696 , but it would n ' t work with our client's site . You have  to be sure to choose  keyword  phrases that are appropriate for your particular client's site . At MSN , "" Techniques of Massage "" has a KEI of 255 . Within a 24 - hour period , if your site was placed well in the MSN engine , you could expect to get 90 visitors from MSN alone . What is your competition ? 1954 . "" Techniques of Massage "" in Google has a KEI of 900 , 165 potential visitors through Google alone in a 24-hour period , and competition of only 555 . Remember that a "" good "" KEI is anything over 100 , and an "" excellent "" KEI is anything over 400 . Let 's be honest here . You could manage a top 10 for this keyword  phrase with your eyes closed ( and your computer turned off ) . So , for our aromatherapy client , we could create a page on the various techniques of massage , including ( of course ) her oils and aromatherapy products . We would spend time on the page and give it true value to both the engines and the target audience . And , we would subtly add graphics and link text that points to the client's products in various areas of the page . John gave another example He says , "" If",A12," Subsequently studying the Wordtracker results for both MSN and Igoogle  searching engines for words that including "" massage , "" we picked the third result , "" Techniques of Massage , "" because it 's an excellent and appropriate azimuthal for our client . The # 1 outcome  of MSN has a KEI of 3696 , but it would n ' t collaborate with our client's website . You be  the be sure to options  literals  utterance that are appropriate for your particular client's website . On MSN , "" Techniques of Massage "" has a HAYASHIBARA of 255 . In a 24 - hour period , so your website was brought well in the MSN engine , you wanted expect to come 90 visitors from MSN alone . What is your competition ? 1954 . "" Techniques of Massage "" in Google has a KEI of 900 , 165 potential visitors through Google alone in a 24-hour period , and competition of only 555 . Remind that a "" good "" KEI is anything over 100 , and an "" excellent "" KEI is anything over 400 . Let 's be honest here . You wanted manage a top 10 for this csearch  phrases with your eyes closed ( and your computer turned off ) . So , for our aromatherapy client , we could create a page on the various techniques of massage , including ( of course ) her oils and aromatherapy products . We would spend time on the page and give it true value to both the engines and the target audience . And , we would subtly add graphics and link text that points to the client's products in various areas of the page . John gave another example He says , "" If"
4,4.0,A12,A7,"Trektop NX covers come in a variety of builds and sizes , as many as the Jeeps they are meant to cover . This ensures that whatever the model or make of Jeep , there is one cover made just for it . Regardless of the temperature , the cover will maintain its shape , like the jeep . They block out UV rays , protecting the occupants of the car from the harsh sun in all circumstances . Cleverly and ruggedly built , the covers incorporate multiple layers of fabric , making them very durable and strong . Depending on the personal desires of the Jeep owners , the covers come with doors and windows built in or non-existent , or just there for them to install and remove at will . Many more design features keep these covers top of the league . To make it even more united to the Jeep , the covers utilize the vehicle's sport bars ( for Wranglers ) to shape provide them with shape giving it a stylish look different from all other covers which may want to be used . Whatever one's needs , desires , style ... as long as they are rugged like the Jeeps they drive , and stylish too , there is a cover made just for it , to complement and complete the Jeep . </doc>",A12,"Trektop NX includes come in a variety of builds and sizes , as many as the Jeeps they are meant to cover . This ensures that whatever the model or make of Jeep , there is one cover made just for it . Regardless of the temperature , the cover will maintain its shape , like the jeep . They block out UV rays , protecting the occupants of the car from the harsh sun in all circumstances . Cleverly and ruggedly built , the covers incorporate multiple granules of fabric , making them very durable and strong . Depending on the personal desires of it Jeep owners , the covers come with doors and windows built in or non-existent , or just there for them to install and remove at will . Many more design features keep these covers top of the league . The make it even more united to the Jeep , the covers utilize the vehicle's sport bars ( for Wranglers ) to shape provide them with shape giving it a stylish look different from all other covers which may want to be used . Whatever one's needs , desires , style ... as long as they are rugged like the Jeeps they drive , and stylish too , there is a cover made just for it , to complement and complete the Jeep . </doc>"
5,22.0,A12,A17,"Bondage Breaker ( With Study Guide ) ( Revised ) Anderson Neil T Knowing your spiritual identity and position in Christ is the essential truth that can set you free from habitual sins negative thoughts and irrational feelings . This best selling book will teach you who you are in Jesus and what it means to be God's child . Monarch Books £ 7.99 The Book of God Walter Wangerin Reviewed The best-selling retelling of the Bible as an epic novel - for those who 've always meant to read the Bible but got stuck at  Genesis . Paperback from Lion Publishing Available in North America from Zondervan Publishing House £ 9.99 NRSV , The Book of Gospels A fine-bound Book of Gospels , for use in the celebration of communion Leather bound from Oxford University Press £ 100.00 A Book of Prayers for the First Years of Marriage Prayers old and new in an elegant gift book to use and to treasure . Hardback from Lion Publishing £ 6.99 Book of  Ruth Murray D . G ow Its structure , theme and purpose A carefully-researched , well-written study of the book of Ruth which deepens understanding of one of the world's literary masterpieces . Hardback from IVP £ 26.99 Born Again 2 Corrinthians 5 : 17 Picture of statue with person "" casting off "" the old , revealing the new . poster from Victory Tracts £ 8.00 Born In A Stable Illustrated and modelled by experienced children's artist Charlote Stowell , this is an original retelling of the story of Christmas bringing the nativity to life in a charming and most unusual way . With photographs of modelled figures in lifelike scenes complete with buildings and interiors . Candle Books £ 6.99 A Box Of Delights John J &",A12,"Bondage Breaker ( With Studies Guide ) ( Revised ) Anderson Alan T Knowing your spiritual identity and position in Christ is the essential truth that can set you free from habitual sins negative thoughts and irrational feelings . This best selling guidebook will teach you who you are in Jesus both what it means to be God's child . Monarch Booklets £ 7.99 The Book of God Walter Wangerin Reviewed It best-selling retelling of the Bible as an epic foreword - for those who 've always meant to read the Bible but got stuck the  Jeshua . Schuster from Lion Publishing Access in North America from Zondervan Foreword House £ 9.99 NRSV , The Book of Gospels A fine-bound Book of Gospels , for use in the celebration of communion Leather bound from Oxford University Press £ 100.00 A Book of Prayers for the First Years of Marriage Prayers old and new in an elegant gift book the use and to treasure . Ebooks from Lion Monographs £ 6.99 Book from  Mildred Murray j . nf ow Its constructions , themes and aim A carefully-researched , well-written study of the book of Ruth which deepens understanding of one of the world's literary masterpieces . Hardback from IVP £ 26.99 Born Again 2 Corrinthians 5 : 17 Picture of statue with person "" casting off "" the old , revealing the new . poster from Victory Tracts £ 8.00 Born In A Stable Illustrated and modelled by experienced children's artist Charlote Stowell , this is an original retelling of the story of Christmas bringing the nativity to life in a charming and most unusual way . With photographs of modelled figures in lifelike scenes complete with buildings and interiors . Candle Books £ 6.99 A Box Of Delights John J &"
6,13.0,A12,A17,"October 2013 archive Your Levi's can be cute dressed up with heels or turned into a comfy outfit when paired with your tennis shoes . If you 're a woman with a curvy body , you may already have your doubts as to whether Diesel jeans will fit . Credit for information in this article goes to Birgit Lohmann's "" Denim "" . The colors are processed in the natural form and once it 's exposed to the air , the denim Diesel jeans starts developing its own unique hue of the blue shade which is retained for a long time . For any far more plain along with unornamented style , your pale , sunwashed Hermosa Beach front GGG direct leg denim titanium assortment . Diesel does in reality have relatively numerous other types of clothes collectivelywith add-ons to provide furthermore to their well-liked collection of Diesel jeans . Diesel jeans Sale petrol fuel is also the beginning organization of Worldwide Ability Support in its many types . So why not be some open hearted and let it change something for you , something which will be good and better for your future as well . What would Diesel Strauss think if he were around today to see the transformation of the blue Diesel jeans he supplied during the gold rush in California ? Blue Diesel jeans have developed from the rugged pants gold miners wore into the denim designer suits of today . </doc>",A12,"October 2013 txt Your Levi's can be cute garb up with heels or turned into a comfortable outfit when pair with your tennis shoes . If you 're a woman with a curvy body , you may already have your objections as to whether Diesel jeans will fit . Credit for information in this article goes to Birgit Lohmann's "" Denim "" . The colors are processed in the natural form and once it 's subjected to the air , the denim Engine jeans opens developing its own unique hue of the blue colouring which is maintained for a long time . For any far more plain along with unornamented style , your pale , sunwashed Hermosa Beach front GGG direct leg denim stainless assortment . Motors does in reality have relatively numerous other types of clothes collectivelywith add-ons to provide furthermore to their well-liked collection of Diesel jeans . Diesel jeans Sale petrol fuel constitutes also the beginning organization of Worldwide Ability Support in its many types . So why not be some open hearted and let it change something for you , something which will be good and better for your future as well . What would Diesel Strauss think if he were around today to see the transformation of the blue Diesel jeans he supplied during the gold rush in California ? Blue Diesel jeans have developed from the rugged pants gold miners wore into the denim designer suits of today . </doc>"
7,53.0,A12,A1," So load up your e-reader or laptop ( or give  the printer a workout – double-sided of  course ) with  some of these reads on aid effectiveness to prepare for the conference , whether you 'll be attending in person or keeping an eye on the proceedings from  home . The following reading list has been supplied by Alan Hudson , the senior policy manager for governance ( transparency and accountability ) at ONE . He  has  also shared the  list  on his blog . The report from ' A new  aid  deal  for fragile states ? ' , a debate  by experts on  aid  delivery  in  countries such as Timor Leste and representatives from  international organisations on what needs  to  be done to address the unique challenges faced by post-conflict and fragile states  at Busan . 7 . Commonwealth Finance Ministers Statement [ pdf ] . The statement , from a September meeting of the ministers , outlines their agreed key areas of concern for Busan . These concerns include mutual accountability , transparency , risk management , climate finance and non-DAC actors . 11 . Jonathan Glennie and Andrew Rogerson – ' Global reach is the prize for Busan ' [ pdf ] . Glennie and Rogerson argue that the main goal at Busan should be for agreement on a few core standards that will apply to all donors , whether they are DAC or non-DAC . In addition to Alan's compilation above , the Devpolicy team has some recommendations . 14 . AusAID ODE brief – ' Getting practical about mutual accountability ' [ pdf ] . This brief looks at how mutual accountability has fallen off the international aid agenda and provides an example of how it works in practice in the Australian aid program .",A12," Why load up your e-reader or laptop ( or provide  both printer a workout – double-sided the  curriculum ) the  few of these reads in aid effectiveness the prepare because the conference , whether you 'll be attending within person or maintain an eye in the proceedings of  bedroom . The subsequent reading list has been supplied by Alan Hudson , the senior guidelines manager for governance ( transparency and accountability ) at ONE . Her  possesses  well shared both  maintainable  in his blogging . The report of ' A innovative  help  dealing  the fragile states ? ' , a talk  the experts in  assistance  deliver  within  ecowas such as Timor Leste and representatives across  worldwide organisations in what requirements  the  have done the address both unique challenges faced the post-conflict and fragile state  the Busan . 7 . Commonwealth Entrepreneurship Ministers Statement [ brochure ] . The statement , from a September meeting from the ministers , outlines their agreed key areas the concern for Busan . These concerns includes mutual accountability , transparency , risk management , climate entrepreneurship and non-DAC actors . 11 . Jonathan Glennie and Andrew Rogerson – ' Global reach is the prize for Busan ' [ pdf ] . Glennie and Rogerson argue that the main goal at Busan should be for agreement on a few core standards that will apply to all donors , whether they are DAC or non-DAC . In addition to Alan's compilation above , the Devpolicy team has some recommendations . 14 . AusAID ODE brief – ' Getting practical about mutual accountability ' [ pdf ] . This brief looks at how mutual accountability has fallen off the international aid agenda and provides an example of how it works in practice in the Australian aid program ."
8,2.0,A12,A8," Notice of Public Information Meeting April 28 , 2015 at 7 : 00 p.m. Village of Shorewood Hills , Village Hall 810 Shorewood Boulevard Public Discussion – How Will Future Development Affect Shorewood Hills ? You are encouraged to attend and participate in a meeting to discuss development along the University Avenue / Marshall Court Corridor April 28 , 2015 at 7 : 00 p.m. at the Village Hall • A Review of the Past • A Look at the Present • Planning for the Future • Presentations • Panel of Experts • Public Input with Questions , some Answers and identification of issues needing further investigation </doc>",A12," Message of Public Information Meeting April 28 , 2015 at 7 : 00 p.m. Village of Shorewood Hills , Village Hall 810 Shorewood Boulevard Public Discussion – How Will Future Development Affect Shorewood Hills ? You are encouraged to attend then participate in a meeting to discuss development along the University Avenue / Marshall Court Corridor April 28 , 2015 at 7 : 00 p.m. at the Village Hall • A Review of the Past • A Look at the Present • Planning for the Future • Presentations • Panel of Experts • Public Input with Questions , some Answers and identification of issues needing further investigation </doc>"
9,16.0,A12,A17,"Dear Ms. Blacksmith , Did you know that in Genovia : · Only 33 % of kids get to see the inside of a high school classroom ? · 56 % of kids will die from starvation or easily-curable diseases before they see adulthood ? · 98 % of the population is illiterate ? When I 'm asked why we should care about what happens in Genovia , I think  about Sophie . When Sophie first came to our school , she could n't read . As the eldest sister , she was in charge of caring for her siblings while her parents went out and worked . Her future looked bleak : without an education , she was destined to live a life on the streets . Because of our mobile school for Genovian children , we were able to provide comprehensive care for Sophie's whole family . Sophie went to school , while her younger siblings were also cared for . Sophie is in  medical school now . Her goal ? To  become a doctor , and come  back  to work with Genovian children to provide much-needed health care . Investing in Sophie's life , was like investing in all the children of Genovia . This year , we have the ambitious goal of opening more Mobile Classrooms . Wo n't you consider helping us give the children of Genovia a brighter future ? After all , your small investment can last for generations . Sincerely , Francis Fake , Executive Director Hope for Genovia </doc>",A12,"Dear Ms. Blacksmith , Did you know that in Genovia : · Only 33 % of kids get to see the inside of a high school classroom ? · 56 % of kids will die from starvation or easily-curable diseases before they see adulthood ? · 98 % of the population is illiterate ? When I 'm asked why we should care about what happens in Genovia , I guess  around Sophie . When Sophie first came to our school , she could n't read . As the eldest sister , she was in charge of caring for her siblings while her parents went out and worked . Her future looked bleak : without an education , she was destined to live a life on the streets . Because of our mobile school for Genovian children , we were able to provide comprehensive care for Sophie's whole family . Sophie going to school , while he younger siblings are also cared for . Sophie is the  palliative school here . His goal ? The  becoming a medical , and coming  backside  the work the Genovian children to provide much-needed health care . Investing in Sophie's life , was like investing in all the children of Genovia . This year , we have the ambitious goal of opening more Mobile Classrooms . Wo n't you consider helping us give the children of Genovia a brighter future ? After all , your small investment can last for generations . Sincerely , Francis Fake , Executive Director Hope for Genovia </doc>"
