,mean_words,median,model_label_new,model_label_old
0,8.0,4.0,A12,A7
1,49.0,42.5,A12,A22
2,15.125,2.5,A12,A8
3,10.833333333333334,10.0,A12,A17
4,21.77777777777778,17.0,A12,A1
5,88.0,88.0,A4,A11
6,9.5,9.5,A4,A8
7,18.666666666666668,4.5,A11,A1
8,3.5,3.5,A11,A7
9,27.0,13.0,A7,A1
10,18.454545454545453,7.0,A7,A12
11,2.0,2.0,A7,A17
12,59.0,59.0,A7,A8
13,1.5,1.5,A7,A16
14,40.0,40.0,A14,A12
15,25.0,25.0,A14,A8
16,26.75,22.0,A14,A1
17,2.0,2.0,A14,A17
18,5.0,5.0,A14,A7
19,13.0,13.0,A22,A7
20,33.333333333333336,36.0,A22,A1
21,4.0,4.0,A22,A8
22,5.0,4.0,A22,A12
23,51.0,51.0,A22,A17
24,42.0,42.0,A22,A16
25,11.75,3.5,A8,A1
26,23.625,17.0,A8,A12
27,9.166666666666666,4.0,A16,A12
28,14.857142857142858,6.0,A16,A1
29,32.0,20.0,A16,A8
30,6.5,6.5,A16,A7
31,18.333333333333332,14.5,A16,A17
32,16.75,9.0,A1,A7
33,40.25,33.5,A1,A17
34,20.285714285714285,8.0,A1,A8
35,22.157894736842106,16.0,A1,A12
36,21.0,12.0,A1,A16
37,15.0,11.0,A1,A11
38,6.0,6.0,A1,A9
39,1.0,1.0,A9,A7
40,63.0,63.0,A9,A12
41,11.6,11.0,A17,A12
42,18.25,16.5,A8,A16
43,52.5,52.5,A8,A7
44,12.0,12.0,A8,A4
45,3.0,3.0,A7,A22
46,6.0,6.0,A7,A9
47,30.0,30.0,A17,A8
48,12.0,12.0,A17,A1
49,29.5,29.5,A16,A14
50,57.0,57.0,A16,A4
51,21.5,21.5,A16,A9
52,5.0,5.0,A16,A11
53,1.0,1.0,A16,A22
54,33.333333333333336,1.0,A14,A16
55,7.0,7.0,A11,A17
56,66.0,66.0,A11,A12
57,37.0,37.0,A9,A8
58,23.0,23.0,A12,A11
59,25.25,13.5,A12,A16
60,31.0,31.0,A11,A4
61,23.0,23.0,A1,A4
62,1.0,1.0,A1,A22
63,5.0,5.0,A17,A22
64,3.0,3.0,A17,A16
65,1.0,1.0,A4,A17
66,3.0,3.0,A4,A16
67,1.0,1.0,A8,A9
68,9.0,9.0,A9,A1
