,changed_words_num,new_model_target,old_model_target,old_text,target,text
0,2.0,A11,A1,"О своем опыте переезда в другую страну пишет наш корреспондент из Латинской Америки . Общаясь с русскими в Эквадоре , я понимаю , что каждый из нас имеет свой особенный опыт адаптации . Выйдя замуж за эквадорца и собираясь к отъезду из России , я боялась не столько встречи с другой культурой , сколько смены социальной роли . Ведь переезд в другую страну означал отказ от карьеры во имя неясной перспективы начать всё с нуля . В момент отъезда мне было 29 лет . Я считала себя состоявшимся профессионалом с репутацией , обеспечивающей постоянное поступление интересных предложений , с кучей проектов в голове и хорошим заработком . В Москве я занималась языковыми тренингами в компаниях и у меня была любимая работа в университете . Я привыкла к яркой , насыщенной столичной жизни , к тому , чтобы иметь широкий круг общения и быть в центре событий . Работа всегда была для меня главным критерием самооценки . С первых дней на новом месте я испытала чувство паники . Мой муж в то время был вынужден проводить по 14 часов в сутки на работе , и я сидела одна дома до позднего вечера . Куда-либо самостоятельно выехать для меня было затруднительно , так как водить машину я не умела , а общественный транспорт здесь не очень развит . Это отсутствие свободы передвижения действовало удручающе . Однажды я бесцельно бродила по своему району и зашла в ресторанчик . Из-за прилавка поднялся усатый сеньор и ласково мне улыбнулся . Я настолько устала от отсутствия элементарного общения , что села за стол и была готова заказать всё что угодно , лишь бы он продолжал приветливо на меня смотреть . Это сейчас очень смешно вспоминать . Общаясь с другими эмигрантами , я слышала похожие рассказы . В первое время за границей любой человеческий контакт может привести",A11,"О своем опыте переезда в другую страну рассказывая наш корреспондент из Латинской Сальвадора . Общаясь с русскими в Эквадоре , я понимаю , что каждый из нас имеет свой особенный опыт адаптации . Выйдя замуж за эквадорца и собираясь к отъезду из России , я боялась не столько встречи с другой культурой , сколько смены социальной роли . Ведь переезд в другую страну означал отказ от карьеры во имя неясной перспективы начать всё с нуля . В момент отъезда мне было 29 лет . Я считала себя состоявшимся профессионалом с репутацией , обеспечивающей постоянное поступление интересных предложений , с кучей проектов в голове и хорошим заработком . В Москве я занималась языковыми тренингами в компаниях и у меня была любимая работа в университете . Я привыкла к яркой , насыщенной столичной жизни , к тому , чтобы иметь широкий круг общения и быть в центре событий . Работа всегда была для меня главным критерием самооценки . С первых дней на новом месте я испытала чувство паники . Мой муж в то время был вынужден проводить по 14 часов в сутки на работе , и я сидела одна дома до позднего вечера . Куда-либо самостоятельно выехать для меня было затруднительно , так как водить машину я не умела , а общественный транспорт здесь не очень развит . Это отсутствие свободы передвижения действовало удручающе . Однажды я бесцельно бродила по своему району и зашла в ресторанчик . Из-за прилавка поднялся усатый сеньор и ласково мне улыбнулся . Я настолько устала от отсутствия элементарного общения , что села за стол и была готова заказать всё что угодно , лишь бы он продолжал приветливо на меня смотреть . Это сейчас очень смешно вспоминать . Общаясь с другими эмигрантами , я слышала похожие рассказы . В первое время за границей любой человеческий контакт может привести"
1,1.0,A11,A4,"<p> У меня из окна виден дом , на котором установлен электронный термометр , который еще и время показывает(я пока не решил какой из его показателей необходимее , поэтому не дал ему названия : часы , термометр ? ) . Но суть не в том , маркетинговый ход- установить огромный рекламный щит рядом с этой полезной штуковиной : поглядел на время или температуру , а заодно на рекламу ... моя жизнь была прекрасной , пока во весь этот рекламный щит красовалась надпись "" СДАЕТСЯ "" , но в один "" прекрасный "" момент , я взглянул , и ... . что я увидел-это была реклама savage с этой ненавистной мне , антидевушкой(я её таковой считаю ) ксенией собчак(специально написал со строчной ) . И вот , теперь всякий раз , когда я хочу узнать температуру , эта светская псица портит мне настроение . Я уже стал подумывать как бы взабраться на дом и закрасить его чтоли ... поэтому нада заняться паркуром ... хм интересная идея ...",A11,"<p> У меня из окна виден дом , на котором установлен электронный термометр , который еще и время показывает(я пока не решил какой из его показателей необходимее , поэтому не дал ему названия : часы , термометр ? ) . Но суть не в том , маркетинговый ход- установить огромный рекламный щит рядом с этой полезной штуковиной : поглядел на время или температуру , а заодно на рекламу ... моя жизнь была прекрасной , пока во весь этот рекламный щит красовалась надпись "" СДАЕТСЯ "" , но в один "" прекрасный "" момент , я глядел , и ... . что я увидел-это была реклама savage с этой ненавистной мне , антидевушкой(я её таковой считаю ) ксенией собчак(специально написал со строчной ) . И вот , теперь всякий раз , когда я хочу узнать температуру , эта светская псица портит мне настроение . Я уже стал подумывать как бы взабраться на дом и закрасить его чтоли ... поэтому нада заняться паркуром ... хм интересная идея ..."
2,1.0,A11,A1,"Какая замечательная статья . действительно . мы . спеша за какими-то мнимо важными "" делами "" часто не замечаем ни рассвета , ни заката , ни детской улыбки . ни грусти в глазах близкого человека . Иногда хочетс задать вопрос : "" Ради чего суетимся ? "" . Жизнь ведь не в спешке , и не в перевыполнении плана . Тамара , спасибо . Иду обнимать ребенка : ) ) .",A11,"Какая замечательная статья . действительно . делаем . спеша за какими-то мнимо важными "" делами "" часто не замечаем ни рассвета , ни заката , ни детской улыбки . ни грусти в глазах близкого человека . Иногда хочетс задать вопрос : "" Ради чего суетимся ? "" . Жизнь ведь не в спешке , и не в перевыполнении плана . Тамара , спасибо . Иду обнимать ребенка : ) ) ."
3,3.0,A11,A4," Я не люблю стыковочные рейсы , но иногда они приносят дополнительную отраду . Так и в этот раз , предоставилась возможность на несколько часов выбраться в ночную ( точнее сказать вечернюю ) Прагу . 01. Добравшись на такси ( стыковка всего 4 часа , времени мало ) до центральной части города , я пошел в сторону Карлового моста . 02. Несмотря на сравнительно поздний час , и прохладную погоду Прага живет своею особенной праздной жизнью . 04. Уютом и теплом тянуло в многочисленные кафе и рестораны . 05. Еще больше притягивали мое внимание улицы и переулки старинного города 06. 07. И вот он - Карлов мост , соединяющий ( или разделяющий ) исторические районы Малая Страна и Старе Место . Самый знаменитый из пражских мостов , задуманный императором Священной Римской империи Карлом IV , был открыт в далеком 1380 году . С ума сойти , 633 года назад ! 08. 09. Карл IV , живущий в каменном монументе на Кржижовницкой площади , у что моста , в таинственные минуты посмеивается над моим удивлением , что такое 633 года для камня ? 10. А мост красив в ночи ! 11. Все тридцать старинных скульптур , притягивают к себе внимание тысяч поклонников видимых и едва уловимых ... 12. Все хотят исполнения желаний . 13. Мне кажется , что многоязыковая культура шепчет сразу на ста языках мира . 14. Запутавшись в кривизне старинных улиц , я доверяюсь своим глазам , 15. и выхожу к яркой Староместской площади , к Ратуше и Тынской церкви . 16. Невероятное по своей исторической ценности место : В центре площади стоит памятник мыслителю , проповеднику идеологу чешской Реформации Яну Гусу , 17. русская православная церковь св Николая , 18. и католический костел Девы Марии перед Тыном . 19. Наконец пражская Ратуша . Очень хотелось подняться наверх , и",A11," считаю не люблю стыковочные рейсы , но иногда они приносят дополнительную отраду . Так и в этот раз , предоставилась возможность на несколько часов выбраться в ночную ( точнее сказать вечернюю ) Прагу . 01. Добравшись на такси ( стыковка всего 4 часа , времени мало ) до центральной части города , я пошел в сторону Карлового моста . 02. Несмотря на сравнительно поздний час , и прохладную погоду Прага живет своею особенной праздной жизнью . 04. Уютом и теплом тянуло таком многочисленные кафе и рестораны . 05. Еще больше притягивали мое внимание улицы и переулки старинного города 06. 07. И вот он - Карлов мост , соединяющий ( или разделяющий ) исторические районы Малая Страна и Старе Место . Самый знаменитый из пражских мостов , задуманный императором Священной Римской империи Карлом IV , был открыт в далеком 1380 году . С ума сойти , 633 года назад ! 08. 09. Немецкий IV , живущий в каменном монументе на Кржижовницкой площади , у что моста , в таинственные минуты посмеивается над моим удивлением , что такое 633 года для камня ? 10. А мост красив в ночи ! 11. Все тридцать старинных скульптур , притягивают к себе внимание тысяч поклонников видимых и едва уловимых ... 12. Все хотят исполнения желаний . 13. Мне кажется , что многоязыковая культура шепчет сразу на ста языках мира . 14. Запутавшись в кривизне старинных улиц , я доверяюсь своим глазам , 15. и выхожу к яркой Староместской площади , к Ратуше и Тынской церкви . 16. Невероятное по своей исторической ценности место : В центре площади стоит памятник мыслителю , проповеднику идеологу чешской Реформации Яну Гусу , 17. русская православная церковь св Николая , 18. и католический костел Девы Марии перед Тыном . 19. Наконец пражская Ратуша . Очень хотелось подняться наверх , и"
4,20.0,A11,A17," Опять фестивалил . Сходил на « Солнце » Александра Сокурова . Насколько « Настройщик » смотрелся на одном дыхании легко и задорно , настолько « Солнце » оказался тягучим и давящим фильмом . Но в целом понравилось . Все-таки японская культура очень сильно отличается от привычной европейской , прям инопланетяне какие-то . Зрители которые с ней не сталкивались до этого выглядели слегка обалдевшими . Даже перед фильмом выступал один из организаторов и посоветовал не задумываться почему персонажи совершают какие-то поступки , а просто смотреть и чувствовать . Молодые люди рядом развеселились , когда император  прочитал  свое хайку жене . Если правильно запомнил : « Белый снег , как белые лепестки саккуры . Время стирает и то и другое » . Но им стихотворение показалось маловатым : ) Все-таки Сокуров хорошо передал настроение -- с перепадами настроения императора менялся и фильм , например те же декорации , продолжительность планов и т . д . Кстати , юзабилити японского письма хромает -- пишут тушью , столбиком , справа-налево . При написании второго столбика уже интересно оттопыривают палец , а если писать третий -- то вообще тушь размажется . Хотя с их менталитетом , наверное , так быстро они не пишут и тушь успевает просохнуть , пока обдумывается следующая фраза ( может , для этого так специально и заведено ) .",A11," Говорите фестивалил . Сходил на « Заката » Павла Сокурова . Насколько « Настройщик » смотрелся на одном дыхании легко и задорно , настолько « Солнце » оказался тягучим и давящим фильмом . Но в хотя понравилось . Все-таки японская этническая очень сильно отличающихся от новой европейской , прям инопланетяне какие-то . Увидели которые с ней не сталкивались до только выглядели слегка обалдевшими . Даже перед фильмом карьеры один из координатора и посоветовал не задумываться почему персонажи задерживают какие-то поступки , а просто смотреть и чувствовать . Держатся люди рядом развеселились , когда папа  помню  ваше хайку жене . Если знаю запомнил : « Белый снег , как белые лепестки саккуры . Время стирает и то и другое » . Но им эссе показалось маловатым : ) Все-таки Сокуров хорошо передал настроение -- с перепадами настроения лю менялся и фильм , или те же декорации , продолжительность планов и т . д . Кстати , юзабилити японского письма хромает -- пишут тушью , столбиком , справа-налево . При написании второго столбика уже интересно оттопыривают палец , а если писать третий -- то вообще тушь размажется . Хотя с их менталитетом , наверное , так быстро они не пишут и тушь успевает просохнуть , пока обдумывается следующая фраза ( может , для этого так специально и заведено ) ."
5,11.0,A11,A1,"<p> "" Мы  сделали выставку . Потратили на нее немного денег . Честно заработанных . Не грантовских , своих , честных денег ... Выставку большую и хорошую . Честную . Мы никогда не претендавали на статусность , на богемность и професионализм и революционность . 5 лет мы делаем выставки , пять лет говорим о том , что посмотрите : в интернатах есть Люди , живые люди , живущие плохо ... рисующие хорошо . Главная цель  нашего  существования показать , что эти люди есть ! Мы не хотели быть первыми и главными ... мы не хотели быть лицемерами ... Все наши проекты делались друзьями для друзей . <br/> Но случилось говнище ... Белгазета , одно из свободных изданий Беларуси ... напечатала материал под названием "" Шизо-пати "" . Очень корректно , не так ли ? Милый худощавый мальчик Максим Иващенко , бессспорно , одаренный аналитик , правда , не раскрывшийся в статье до конца цинично и бездарно облил грязью весь проект "" . ( полностью ) <br/> <br/> короче , парниша постебался , выставку закрыли , организатора уволили ... свобода слова скандальный профиль газеты , понимаешь ... <br/> мразь . .",A11,"<p> "" Знаем  попросили выставку . Потратили на нее немного денег . Честно заработанных . Не грантовских , своих , всевозможных денег ... Выставку большую и хорошую . Честную . Мы никогда не претендавали на статусность , на богемность и професионализм и революционность . 5 лет мы делаем выставки , пять лет говорим о том , что посмотрите : в интернатах есть Люди , живые люди , живущие плохо ... рисующие хорошо . Главная полезность  моего  менялся показать , что эти люди есть ! Мы не хотели быть первыми и главными ... мы не хотели быть лицемерами ... Все наши проекты делались друзьями для друзей . <br/> Но остановилась говнище ... Белгазета , одно отсутствия свободных изданий Беларуси ... напечатала материал под названием "" Шизо-пати "" . Очень корректно , не так ли ? Милый худощавый мальчик Михайлов Иващенко , бессспорно , одаренный фотограф , правда , не раскрывшийся в мною до конца цинично и бездарно облил грязью весь проект "" . ( полностью ) <br/> <br/> короче , парниша постебался , выставку закрыли , организатора уволили ... свобода слова скандальный профиль газеты , понимаешь ... <br/> мразь . ."
6,16.0,A11,A4,"<p> Лежу под одеялом в больничной палате . Мужчина Д . отъехал по какой-то надобности , наверное , мне за апельсинами . Я смотрю в окно - палата на первом этаже , и из окна видны улетающие вверх кроны деревьев . Ну то есть когда-то они были кронами . Сейчас это голые зимние ветки под пасмурным февральским небом . Падает густой снег , как будто ливень кошками и собаками , но медленный и белый . Я понимаю , что очень соскучилась по этому снегу . Мужчины Д . рядом нет и я скучаю , жду , коротая минуты . Коротать их мне помогает Марина . Она сидит по-турецки на моём одеяле , в джинсах , и рассказывает мне как однажды , ещё в школе , ей нравилась девочка . Девочка  была похожа на мальчика и имела  все задатки будущей лесби , но тогда она  была просто маленькая девочка , которая знала чуть больше , чем остальные маленькие девочки . И почему-то было очень важно , что Марина однажды вышла из школы , повернула за угол и увидела , как на заснеженной школьной дорожке эта девочка играла с учителем в лапту .",A11,"<p> Лежу под одеялом в больничной палате . Девочка Д . отъехал по какой-то надобности , наверное , мне за апельсинами . считаю смотрю в окно - палата на первом этаже , и из окна видны улетающие вверх кроны деревьев . Ну то есть когда-то они были кронами . Сейчас это голые зимние ветки под пасмурным февральским небом . Успевает густой осадков , как будто ливень кошками и собаками , но медленный и белый . считаю понимаю , что очень соскучилась по этому снегу . Мужчины Д . рядом нет и я скучаю , жду , коротая минуты . Коротать их мне помогает Марина . Она сидит по-турецки на моём одеяле , в джинсах , и задумывается мне как однажды , ещё и школе , поняла нравилась мама . Мамы  получилась похожа на мамы и получила  так задатки будущей лесби , но тогда хотела  показалась просто маленькая девочка , которая знала чуть больше , чем остальные маленькие девочки . И почему-то было очень важно , что Марина однажды вышла из школы , повернула за угол и увидела , как на заснеженной школьной дорожке эта девочка играла с учителем в лапту ."
7,3.0,A11,A4,"<p> я долго думал , что написать ... . . <br/> мыслей было очень много и каждая имела место существовать ... . . <br/> конечный итог это то , что я сейчас тут оставлю ... . оставлю навсегда и больше к этому не возвращусь ... . . <br/> итак ... ... ... ... ... ... ... <br/> <br/> всему хорошему , рано или поздно , так или иначе , НО ! приходит конец ... ... . . <br/> это правда и все это знают , но все этого не хотят и все стремяться продлить мгновение ... . . <br/> Она не смогла быть со мной ... . чтож ... . пусть так ... . я ей безумно благодарен , что она есть в этом безнадежном мире , и то что я был с Ней , потому что Она это само совершенство ... . Она это самая прекрасная , самая замечательная ... . Она Самая Самая из всех ... . . и хотя её нет со мной я всеравно улыбаюсь , потому что знаю , что она есть= ) ) ) <br/> <br/> я очень хочу Её хотя бы увидеть ... . хоть краем глаза , но понимаю , что БОЛЬ будет невыносимо обжигающей , и всеравно я этого хочу , и как только пойму , что смогу перенести эту боль я постараюсь это сделать , надеюсь она будет непротив=)либо qwerty_kid , прости Кать , просто я толком не помню как пишеться твой ник , поэтому написал так , надеюсь что правильно= ) ) <br/> <br/> а теперь разрешить попращаться на некоторое время , ибо я сейчас уйду в себя ... . . мне это необходимо ... . . просто очень сложно любить на расстоянии и мне к этому надо придти ... . я так делал 1 раз в жизни ...",A11,"<p> считаю долго думал , что написать ... . . <br/> эмоции было очень много и каждая имела место существовать ... . . <br/> конечный итог это то , что я сейчас тут оставлю ... . оставлю навсегда и больше к этому не возвращусь ... . . <br/> итак ... ... ... ... ... ... ... <br/> <br/> всему хорошему , рано или поздно , так или иначе , НО ! приходит конец ... ... . . <br/> это правда и все это знают , но все этого не хотят и все стремяться продлить мгновение ... . . <br/> Она не смогла быть со мной ... . чтож ... . пусть так ... . я ей безумно благодарен , что она есть в этом безнадежном мире , и то что я был с Ней , потому что Она это само простоту ... . Она это самая прекрасная , самая замечательная ... . Она Самая Самая из всех ... . . и хотя её нет со мной я всеравно улыбаюсь , потому что знаю , что она есть= ) ) ) <br/> <br/> я очень хочу Её хотя бы увидеть ... . хоть краем глаза , но понимаю , что БОЛЬ будет невыносимо обжигающей , и всеравно я этого хочу , и как только пойму , что смогу перенести эту боль я постараюсь это сделать , надеюсь она будет непротив=)либо qwerty_kid , прости Кать , просто я толком не помню как пишеться твой ник , поэтому написал так , надеюсь что правильно= ) ) <br/> <br/> а теперь разрешить попращаться на некоторое время , ибо я сейчас уйду в себя ... . . мне это необходимо ... . . просто очень сложно любить на расстоянии и мне к этому надо придти ... . я так делал 1 раз в жизни ..."
8,9.0,A11,A1,"Ценность ничего : как из ничего рождается нечто . Это было моим сочинением , когда мне было 11 лет и  я получила за него 4+ ( Смех ) Я расскажу о том , как из ничего появляется нечто , о том , как мы творим И я это сделаю за 18 минут - этого времени нас просили придерживаться - и буду следовать указаниям ТЕД , что рождает ощущения , похожие на переживания на грани смерти , но близость к смерти - это хорошо для творчества . ( Смех ) OK Итак , я также хочу объяснить , поскольку Дейв Эггерс сказал , что забросает меня вопросами , если я совру , или скажу что-то , что будет неправдой , с точки зрения универсального подхода к творчеству . Я подготовилась для той половины аудитории , которой важна научная точность . Когда я говорю "" мы "" , я не обязательно имею в виду вас . Я говорю про себя , мои левое и правое полушария мозга , и находящийся посередине "" цензор "" , который сообщает , что мои высказывания ошибочны . Также , я собираюсь рассмотреть то , что , на мой взгляд , является частью моего процесса творчества , что включает в себя ряд реально произошедших событий : на самом деле ничего возникло даже до того момента , когда я начала творить что-то новое . И это включает в себя природу , воспитание , и то , что я называю ночными кошмарами . Сейчас с точки зрения природы мы пытаемся определить , есть ли у нас с рождения нечто , может некие аномальные хромосомы в головном мозге , которые вызывают эффект "" музы "" . И кто-то скажет , что эта способность неким образом принадлежит нам уже с рождения , а кто-то , как , например , моя мама",A11,"Ценность ничего : как из ничего рождается нечто . Это было моим сочинением , когда мне было 11 лет не  пишу получила за него 4+ ( Смех ) люблю расскажу о том , как из ничего появляется нечто , о том , как мы творим И я это сделаю за 18 минут - этого времени нас просили придерживаться - и буду следовать указаниям ТЕД , что рождает ощущения , похожие на переживания на грани смерти , но близость к смерти - это хорошо для творчества . ( Смех ) OK Итак , я также хочу напомнить , наоборот Дейв Эггерс позвонил , что забросает меня вопросами , если я совру , или скажу что-то , что будет неправдой , с точки зрения универсального подхода к творчеству . Я подготовилась для той половины аудитории , которой важна научная точность . Когда я говорю "" мы "" , я не обязательно имею в виду кстати . Я говорю про себя , мои левое и правое полушария мозга , и находящийся посередине "" цензор "" , который рассказать , сказать мои высказывания ошибочны . Также , я собираюсь рассмотреть то , что , на мой взгляд , является частью моего процесса творчества , что включает в себя ряд реально произошедших событий : на самом деле ничего возникло даже до того момента , когда я начала творить что-то новое . И это включает в себя природу , воспитание , и то , что я называю ночными кошмарами . Сейчас с точки зрения природы мы пытаемся определить , есть ли у нас с рождения нечто , может некие аномальные хромосомы в головном мозге , которые вызывают эффект "" музы "" . И кто-то скажет , что эта способность неким образом принадлежит нам уже с рождения , а кто-то , как , например , моя мама"
9,1.0,A11,A1,"И правильно сделала ! ! у нас при приеме на работу в профсоюз все зачисляются автоматически . Раньше это было выгодно . Выгодно было бы если бы я пользовалась его возможностями раньше . Сейчас все урезали , все сократили , половину льгот убрали . Ну и на фига мне ? надо было вообще раньше выйти , да как то все недосуг было . . вот написала заявление , и поднялась буря в сттакане - право даже смешно ) ) За год получается сохраню на этом около 2 тыщ . .",A11,"И значит сделала ! ! у нас при приеме на работу в профсоюз все зачисляются автоматически . Раньше это было выгодно . Выгодно было бы если бы я пользовалась его возможностями раньше . Сейчас все урезали , все сократили , половину льгот убрали . Ну и на фига мне ? надо было вообще раньше выйти , да как то все недосуг было . . вот написала заявление , и поднялась буря в сттакане - право даже смешно ) ) За год получается сохраню на этом около 2 тыщ . ."
