,mean_words,median,model_label_new,model_label_old
0,7.2,1.0,A11,A1
1,9.636363636363637,4.0,A11,A4
2,11.066666666666666,5.0,A11,A17
3,26.0,26.0,A11,A16
4,22.0,22.0,A16,A12
5,30.75,14.0,A16,A1
6,17.0,9.0,A16,A9
7,9.666666666666666,6.0,A16,A14
8,35.6,31.0,A16,A8
9,22.0,5.0,A14,A1
10,3.5714285714285716,1.0,A14,A16
11,1.5,1.5,A14,A12
12,20.666666666666668,9.0,A1,A8
13,10.0,4.5,A1,A14
14,14.5,7.0,A1,A4
15,18.0,5.0,A1,A9
16,19.5,19.5,A1,A7
17,5.4,1.0,A1,A16
18,7.0,3.5,A17,A11
19,9.38888888888889,5.0,A17,A12
20,17.0,10.0,A17,A1
21,36.0,36.0,A7,A1
22,22.125,18.5,A7,A12
23,24.0,6.0,A8,A12
24,37.142857142857146,29.0,A8,A1
25,20.0,20.0,A8,A14
26,10.0,10.0,A4,A7
27,13.88888888888889,3.0,A4,A1
28,16.2,6.0,A4,A16
29,12.0,4.0,A9,A7
30,3.0,3.0,A12,A4
31,12.6,1.0,A12,A17
32,29.0,29.0,A12,A14
33,18.0,18.0,A7,A17
34,24.0,16.0,A16,A17
35,11.9,8.5,A1,A11
36,8.8,11.0,A1,A17
37,44.0,44.0,A11,A14
38,7.0,5.0,A14,A8
39,5.5,5.5,A14,A17
40,5.0,5.0,A17,A7
41,57.0,57.0,A17,A4
42,6.6,5.0,A17,A8
43,14.166666666666666,11.5,A4,A11
44,1.0,1.0,A12,A1
45,9.5,9.5,A12,A11
46,9.0,9.0,A9,A14
47,3.25,2.5,A9,A16
48,12.5,12.5,A16,A7
49,23.75,14.5,A11,A8
50,28.0,28.0,A4,A17
51,17.0,17.0,A4,A8
52,9.0,2.0,A8,A16
53,19.0,19.0,A8,A17
54,23.0,23.0,A12,A7
55,4.5,4.5,A12,A8
56,19.5,19.5,A14,A9
57,14.5,14.5,A1,A12
58,60.0,60.0,A17,A14
59,1.0,1.0,A17,A16
60,37.0,37.0,A11,A12
61,19.0,19.0,A11,A9
62,14.0,14.0,A11,A7
63,52.0,52.0,A7,A14
64,31.0,31.0,A9,A8
65,1.0,1.0,A9,A12
66,6.0,6.0,A12,A16
