,mean_words,median,model_label_new,model_label_old
0,6.2,1.0,A11,A1
1,8.181818181818182,3.0,A11,A4
2,10.466666666666667,3.0,A11,A17
3,19.0,19.0,A11,A16
4,24.5,24.5,A16,A12
5,31.88888888888889,21.0,A16,A1
6,11.4,8.0,A16,A9
7,6.777777777777778,4.0,A16,A14
8,28.2,22.5,A16,A8
9,25.22222222222222,5.0,A14,A1
10,3.0,1.0,A14,A16
11,1.5,1.5,A14,A12
12,17.571428571428573,11.5,A1,A8
13,7.5,3.5,A1,A14
14,11.25,6.5,A1,A4
15,13.666666666666666,6.0,A1,A9
16,18.5,18.5,A1,A7
17,3.6,1.0,A1,A16
18,6.7,3.0,A17,A11
19,12.263157894736842,4.0,A17,A12
20,13.2,7.0,A17,A1
21,16.0,16.0,A7,A1
22,22.352941176470587,14.0,A7,A12
23,20.6,8.0,A8,A12
24,29.857142857142858,26.0,A8,A1
25,6.0,6.0,A8,A14
26,8.0,8.0,A4,A7
27,13.777777777777779,3.0,A4,A1
28,9.6,3.0,A4,A16
29,7.666666666666667,4.0,A9,A7
30,3.0,3.0,A12,A4
31,12.6,1.0,A12,A17
32,15.0,15.0,A12,A14
33,15.0,15.0,A7,A17
34,25.2,12.0,A16,A17
35,8.6,7.5,A1,A11
36,8.4,3.0,A1,A17
37,44.0,44.0,A11,A14
38,4.333333333333333,3.0,A14,A8
39,5.0,5.0,A14,A17
40,5.0,5.0,A17,A7
41,43.0,43.0,A17,A4
42,6.0,5.0,A17,A8
43,14.846153846153847,12.0,A4,A11
44,1.0,1.0,A12,A1
45,6.5,6.5,A12,A11
46,6.5,6.5,A9,A14
47,1.75,1.5,A9,A16
48,12.0,12.0,A16,A7
49,18.5,10.5,A11,A8
50,29.5,29.5,A4,A17
51,23.0,23.0,A4,A8
52,23.0,14.0,A8,A16
53,19.0,19.0,A8,A17
54,9.5,9.5,A12,A7
55,4.0,4.0,A12,A8
56,16.5,16.5,A14,A9
57,40.0,21.0,A1,A12
58,37.0,37.0,A17,A14
59,1.0,1.0,A17,A16
60,29.0,29.0,A11,A12
61,13.0,13.0,A11,A9
62,10.0,10.0,A11,A7
63,29.0,29.0,A7,A14
64,22.0,22.0,A9,A8
65,1.0,1.0,A9,A12
66,5.5,5.5,A12,A16
